Message,Description,RuleNumber,RuleDesc,CWEId,Severity,ClassName,MethodName,ExternalLibrary,PossibleExternal
"Found: ""DES/ECB/NoPadding""",Found broken crypto schemes,1,Found broken crypto schemes,256,1,cz.msebera.android.httpclient.impl.auth.NTLMEngineImpl,lmHash,true,true
"Found: ""DES/ECB/NoPadding""",Found broken crypto schemes,1,Found broken crypto schemes,256,1,cz.msebera.android.httpclient.impl.auth.NTLMEngineImpl$CipherGen,getLanManagerSessionKey,true,true
"Found: ""DES/ECB/NoPadding""",Found broken crypto schemes,1,Found broken crypto schemes,256,1,cz.msebera.android.httpclient.impl.auth.NTLMEngineImpl$CipherGen,getLanManagerSessionKey,true,true
"Found: ""RC4""",Found broken crypto schemes,1,Found broken crypto schemes,256,1,cz.msebera.android.httpclient.impl.auth.NTLMEngineImpl,RC4,true,true
"Found: ""DES/ECB/NoPadding""",Found broken crypto schemes,1,Found broken crypto schemes,256,1,cz.msebera.android.httpclient.impl.auth.NTLMEngineImpl,lmResponse,true,true
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,rehanced.com.simpleetherwallet.services.NotificationService,a,false,true
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.spongycastle.math.ec.ECCurve$AbstractF2m,solveQuadraticEquation,false,false
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,okhttp3.OkHttpClient,newWebSocket,true,true
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.spongycastle.math.raw.Mod,random,false,false
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,cz.msebera.android.httpclient.entity.mime.MultipartEntityBuilder,generateBoundary,true,true
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.spongycastle.asn1.ua.DSTU4145PointEncoder,solveQuadraticEquation,false,false
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.spongycastle.pqc.math.linearalgebra.GF2Polynomial,clinit,false,false
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.spongycastle.pqc.math.linearalgebra.GF2nONBField,elementOfOrder,false,false
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.spongycastle.math.ec.ECFieldElement$Fp,sqrt,false,false
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.spongycastle.pqc.math.linearalgebra.GF2nPolynomialElement,solveQuadraticEquation,false,false
Didn't manually verify hostname in createSslSocket,Should check HostnameVerification manually,12,Should check HostnameVerification manually,297,1,org.web3j.protocol.infura.CertificateManager,createSslSocket,false,false
Should at least get One accepted Issuer from Other Sources in getAcceptedIssuers method of UNKNOWN,Uses untrusted TrustManager,4,Uses untrusted TrustManager,349,1,UNKNOWN,getAcceptedIssuers,false,false
"Cause: Fixed ""[1]""",Used untrusted HostNameVerifier,6,Used untrusted HostNameVerifier,601,1,UNKNOWN,UNKNOWN,false,false
"Found: ""MD5""",Found broken hash functions,2,Found broken hash functions,759,1,okio.HashingSink,md5,true,true
"Found: ""MD5""",Found broken hash functions,2,Found broken hash functions,759,1,okio.HashingSource,md5,true,true
"Found: ""MD5""",Found broken hash functions,2,Found broken hash functions,759,1,cz.msebera.android.httpclient.impl.auth.NTLMEngineImpl$HMACMD5,init,true,true
"Found: ""SHA-1""",Found broken hash functions,2,Found broken hash functions,759,1,okio.HashingSink,sha1,true,true
"Found: ""SHA-1""",Found broken hash functions,2,Found broken hash functions,759,1,okio.ByteString,sha1,true,true
"Found: ""MD5""",Found broken hash functions,2,Found broken hash functions,759,1,okio.Buffer,md5,true,true
"Found: ""MD5""",Found broken hash functions,2,Found broken hash functions,759,1,cz.msebera.android.httpclient.impl.auth.DigestScheme,createDigestHeader,true,true
"Found: ""MD5""",Found broken hash functions,2,Found broken hash functions,759,1,okio.ByteString,md5,true,true
"Found: ""SHA-1""",Found broken hash functions,2,Found broken hash functions,759,1,okio.HashingSource,sha1,true,true
"Found: ""SHA-1""",Found broken hash functions,2,Found broken hash functions,759,1,me.zhanghai.android.patternlock.PatternUtils,sha1,true,true
"Found: ""SHA-1""",Found broken hash functions,2,Found broken hash functions,759,1,okio.Buffer,sha1,true,true
"Found: ""MD5""",Found broken hash functions,2,Found broken hash functions,759,1,cz.msebera.android.httpclient.impl.auth.NTLMEngineImpl,ntlm2SessionResponse,true,true
"Found: ""MD5""",Found broken hash functions,2,Found broken hash functions,759,1,cz.msebera.android.httpclient.impl.auth.DigestScheme,createDigestHeader,true,true
"Found: ""2""",Used < 1000 iteration for PBE,8,Used < 1000 iteration for PBE,326,1,org.spongycastle.jcajce.provider.symmetric.AES$PBEWithSHA256AESCBC192,init,false,true
"Found: ""3""",Used < 1000 iteration for PBE,8,Used < 1000 iteration for PBE,326,1,org.spongycastle.jcajce.provider.keystore.bc.BcKeyStoreSpi$StoreEntry,init,false,true
"Found: ""2""",Used < 1000 iteration for PBE,8,Used < 1000 iteration for PBE,326,1,org.spongycastle.jcajce.provider.symmetric.DESede$PBEWithSHAAndDES2Key,init,false,true
"Found: ""0""",Used < 1000 iteration for PBE,8,Used < 1000 iteration for PBE,326,1,org.spongycastle.jcajce.provider.symmetric.DES$PBEWithMD5,init,false,true
"Found: ""2""",Used < 1000 iteration for PBE,8,Used < 1000 iteration for PBE,326,1,org.spongycastle.jcajce.provider.symmetric.RC2$PBEWithSHAAnd128BitRC2,init,false,true
"Found: ""2""",Used < 1000 iteration for PBE,8,Used < 1000 iteration for PBE,326,1,org.spongycastle.jcajce.provider.symmetric.RC2$PBEWithSHAAnd40BitRC2,init,false,true
"Found: ""2""",Used < 1000 iteration for PBE,8,Used < 1000 iteration for PBE,326,1,org.spongycastle.jcajce.provider.symmetric.AES$PBEWithSHA256AESCBC128,init,false,true
"Found: ""2""",Used < 1000 iteration for PBE,8,Used < 1000 iteration for PBE,326,1,org.spongycastle.jcajce.provider.symmetric.Twofish$PBEWithSHA,init,false,true
"Found: ""2""",Used < 1000 iteration for PBE,8,Used < 1000 iteration for PBE,326,1,org.spongycastle.jcajce.provider.symmetric.AES$PBEWithSHA256AESCBC256,init,false,true
"Found: ""4""",Used < 1000 iteration for PBE,8,Used < 1000 iteration for PBE,326,1,org.spongycastle.jcajce.provider.keystore.bc.BcKeyStoreSpi$StoreEntry,init,false,true
"Found: ""2""",Used < 1000 iteration for PBE,8,Used < 1000 iteration for PBE,326,1,org.spongycastle.jcajce.provider.symmetric.DESede$PBEWithSHAAndDES3Key,init,false,true
"Found: ""2""",Used < 1000 iteration for PBE,8,Used < 1000 iteration for PBE,326,1,org.spongycastle.jcajce.provider.keystore.bc.BcKeyStoreSpi,loadStore,false,true
"Found: ""0""",Used < 1000 iteration for PBE,8,Used < 1000 iteration for PBE,326,1,org.spongycastle.jcajce.provider.symmetric.RC2$PBEWithMD5AndRC2,init,false,true
"Found: ""1""",Used < 1000 iteration for PBE,8,Used < 1000 iteration for PBE,326,1,org.spongycastle.jcajce.provider.keystore.bc.BcKeyStoreSpi,loadStore,false,true
"Found: ""0""",Used < 1000 iteration for PBE,8,Used < 1000 iteration for PBE,326,1,org.spongycastle.jcajce.provider.symmetric.DES$PBEWithMD2,init,false,true
"Found: ""2""",Used < 1000 iteration for PBE,8,Used < 1000 iteration for PBE,326,1,org.spongycastle.jcajce.provider.symmetric.AES$PBEWithSHA1AESCBC192,init,false,true
"Found: ""0""",Used < 1000 iteration for PBE,8,Used < 1000 iteration for PBE,326,1,org.spongycastle.jcajce.provider.symmetric.DES$PBEWithSHA1,init,false,true
"Found: ""0""",Used < 1000 iteration for PBE,8,Used < 1000 iteration for PBE,326,1,org.spongycastle.jcajce.provider.symmetric.RC2$PBEWithSHA1AndRC2,init,false,true
"Found: ""1""",Used < 1000 iteration for PBE,8,Used < 1000 iteration for PBE,326,1,org.spongycastle.jcajce.provider.keystore.bc.BcKeyStoreSpi$StoreEntry,init,false,true
"Found: ""2""",Used < 1000 iteration for PBE,8,Used < 1000 iteration for PBE,326,1,org.spongycastle.jcajce.provider.symmetric.AES$PBEWithSHA1AESCBC128,init,false,true
"Found: ""2""",Used < 1000 iteration for PBE,8,Used < 1000 iteration for PBE,326,1,org.spongycastle.jcajce.provider.symmetric.AES$PBEWithSHA1AESCBC256,init,false,true
"Found: ""www.bouncycastle.org""",Found predictable seeds in code,11,Found predictable seeds in code,760,1,org.spongycastle.crypto.examples.DESExample,init,false,false
"Found: ""web3j runtime cert store""",Used Predictable KeyStore Password,14,Used Predictable KeyStore Password,321,1,org.web3j.protocol.infura.InfuraHttpService,clinit,false,false
"Found: ""http://example.com/""",Used HTTP Protocol,7,Used HTTP Protocol,650,1,cz.msebera.android.httpclient.impl.client.cache.CacheKeyGenerator,clinit,true,true
"Found: ""http://api.etherscan.io/api?module=stats&action=ethprice&apikey=""",Used HTTP Protocol,7,Used HTTP Protocol,650,1,rehanced.com.simpleetherwallet.network.EthereumNetwork,getEtherPrice,false,true
"Found: ""http://api.etherscan.io/api?module=account&action=balancemulti&address=""",Used HTTP Protocol,7,Used HTTP Protocol,650,1,rehanced.com.simpleetherwallet.network.EthereumNetwork,getBalances,false,true
"Found: ""http://api.etherscan.io/api?module=proxy&action=eth_sendRawTransaction&hex=""",Used HTTP Protocol,7,Used HTTP Protocol,650,1,rehanced.com.simpleetherwallet.network.EthereumNetwork,forwardTransaction,false,true
"Found: ""http://api.etherscan.io/api?module=account&action=txlist&address=""",Used HTTP Protocol,7,Used HTTP Protocol,650,1,rehanced.com.simpleetherwallet.network.EthereumNetwork,getNormalTransactions,false,true
"Found: ""http://api.etherscan.io/api?module=proxy&action=eth_estimateGas&to=""",Used HTTP Protocol,7,Used HTTP Protocol,650,1,rehanced.com.simpleetherwallet.network.EthereumNetwork,getGasLimitEstimate,false,true
"Found: ""http://api.etherscan.io/api?module=proxy&action=eth_getTransactionCount&address=""",Used HTTP Protocol,7,Used HTTP Protocol,650,1,rehanced.com.simpleetherwallet.network.EthereumNetwork,getNonceForAddress,false,true
"Found: ""http://api.ethplorer.io/getAddressInfo/""",Used HTTP Protocol,7,Used HTTP Protocol,650,1,rehanced.com.simpleetherwallet.network.EthereumNetwork,getTokenBalances,false,true
"Found: ""http://etherscan.io//token/images/""",Used HTTP Protocol,7,Used HTTP Protocol,650,1,rehanced.com.simpleetherwallet.network.EthereumNetwork,loadTokenIcon,false,true
"Found: ""http://api.etherscan.io/api?module=account&action=txlistinternal&address=""",Used HTTP Protocol,7,Used HTTP Protocol,650,1,rehanced.com.simpleetherwallet.network.EthereumNetwork,getInternalTransactions,false,true
"Found: ""http://poloniex.com/public?command=returnChartData&currencyPair=""",Used HTTP Protocol,7,Used HTTP Protocol,650,1,rehanced.com.simpleetherwallet.network.EthereumNetwork,getPriceChart,false,true
"Found: ""http://api.etherscan.io/api?module=proxy&action=eth_gasPrice&apikey=""",Used HTTP Protocol,7,Used HTTP Protocol,650,1,rehanced.com.simpleetherwallet.network.EthereumNetwork,getGasPrice,false,true
"Found: ""http://api.etherscan.io/api?module=account&action=balance&address=""",Used HTTP Protocol,7,Used HTTP Protocol,650,1,rehanced.com.simpleetherwallet.network.EthereumNetwork,getBalance,false,true
"Found: ""http://etherscan.io//token/images/""",Used HTTP Protocol,7,Used HTTP Protocol,650,1,rehanced.com.simpleetherwallet.network.EllaismNetwork,loadTokenIcon,false,true
