apk_name;libraries_with_vulnerability (total);libraries_with_vulnerability (possible_external);libraries_with_vulnerability (definitely_external), native_libraries_with_vulnerability (total - possible_external - definitely_external)
org.tether.tether_2007;3;2;1;0
me.yardenac.comaphone_27;2;0;0;2
me.lucky.silence_30;5;0;2;3
ru.henridellal.dialer_14;0;0;0;0
org.lumicall.android_192;84;9;1;74
at.bitfire.nophonespam_15;0;0;0;0
dummydomain.yetanothercallblocker_5170;22;0;21;1
com.github.tmo1.sms_ie_5;4;0;2;2
org.jitsi.meet_216000;22;3;17;2
opencontacts.open.com.opencontacts_23;6;0;0;6
com.serwylo.babyphone_5;4;0;2;2
tech.bogomolov.incomingsmsgateway_7;1;0;1;0
com.pierreduchemin.smsforward_15;4;0;2;2
de.schlikk.calls_100000;2;0;0;2
fr.jnda.android.flashalert_10271104;3;0;1;2
com.simplemobiletools.contacts.pro_89;6;1;1;4
com.github.webierta.call_counter_5;0;0;0;0
me.hackerchick.raisetoanswer_31;2;0;0;2
de.hskl.contacts_1;1;0;1;0
