apk_name;libraries_with_vulnerability (total);libraries_with_vulnerability (possible_external);libraries_with_vulnerability (definitely_external), native_libraries_with_vulnerability (total - possible_external - definitely_external)
com.denytheflowerpot.scrunch_2;2;0;1;1
me.zhanghai.android.files_25;90;0;2;88
pro.rudloff.search_to_browser_2;0;0;0;0
com.buzbuz.smartautoclicker_11;2;0;1;1
com.hwloc.lstopo_265;2;0;2;0
com.smartpack.packagemanager_59;2;0;0;2
com.svenjacobs.app.leon_229;3;0;1;2
com.github.olga_yakovleva.rhvoice.android_10600;5;0;2;3
org.irmacard.cardemu_136;4;0;1;3
rocks.tbog.tblauncher_30;7;0;1;6
com.machiav3lli.backup_7000;9;0;1;8
com.oF2pks.chairlock_17;5;0;3;2
com.simplemobiletools.voicerecorder_17;12;7;3;2
kuesji.link_eye_4;0;0;0;0
inc.flide.vi8_8;1;0;0;1
com.smartpack.kernelprofiler_13;0;0;0;0
com.hos_dvk.easyphone.full_11;4;0;2;2
com.szchoiceway.aios.bridge_8;3;0;1;2
eu.roggstar.luigithehunter.batterycalibrate_13;0;0;0;0
com.github.muellerma.coffee_14;1;0;1;0
ie.defo.ech_apps_1014003;65;1;43;21
com.klee.volumelockr_5;5;0;2;3
kasun.sinhala.keyboard_6;0;0;0;0
ch.rmy.android.http_shortcuts_1102120001;14;0;2;12
mattecarra.accapp_39;12;0;10;2
dev.patrickgold.florisboard_56;4;0;2;2
com.smartpack.scriptmanager_41;0;0;0;0
com.oasisfeng.island.fdroid_51601;1;0;0;1
io.github.sds100.keymapper_50;3;0;1;2
io.github.muntashirakon.AppManager_397;49;0;32;17
taco.scoop_32;2;0;1;1
com.simplemobiletools.dialer_32;6;1;1;4
io.github.muntashirakon.setedit_6;2;0;2;0
com.punksta.apps.volumecontrol_32;1;0;1;0
io.github.muntashirakon.unapkm_4;0;0;0;0
com.smartpack.kernelmanager_171;1;0;0;1
com.github.muellerma.prepaidbalance_10;4;0;2;2
moe.dic1911.autodnd_3;4;0;2;2
godau.fynn.usagedirect.system_9;5;0;1;4
godau.fynn.usagedirect_9;6;0;2;4
com.vincent_falzon.discreetlauncher_44;1;1;0;0
io.github.subhamtyagi.lastlauncher_18;1;0;0;1
com.smartpack.busyboxinstaller_17;0;0;0;0
luke.launcher_20003;1;0;0;1
com.termoneplus_362;3;1;2;0
us.spotco.extirpater_22;4;0;0;4
io.timelimit.android.aosp.direct_177;9;0;1;8
com.mirfatif.permissionmanagerx_111;4;2;0;2
com.jkuester.unlauncher_14;1;0;0;1
net.tjado.usbgadget_4;1;0;1;0
bluepie.ad_silence_11;0;0;0;0
de.k3b.android.camerafolder_1;0;0;0;0
info.spotcomms.wlanbackend_23;0;0;0;0
io.github.domi04151309.batterytool_101;1;0;0;1
com.simplemobiletools.smsmessenger_41;20;7;11;2
io.github.yoshi1123.adbio_2;0;0;0;0
com.sunilpaulmathew.debloater_23;0;0;0;0
co.garmax.materialflashlight_29;2;0;1;1
com.github.rsteube.t4_4;0;0;0;0
com.activitymanager_414;4;0;1;3
org.booncode.bluepass4_5;5;0;3;2
de.lukaspieper.gcam.services_6;2;0;0;2
name.lmj001.savetodevice_3;4;0;2;2
com.example.TTime_3;3;0;1;2
com.jens.automation2_115;27;20;4;3
org.fdroid.nearby_2;71;1;25;45
com.looker.droidify_43;5;3;1;1
