Message,Description,RuleNumber,RuleDesc,CWEId,Severity,ClassName,MethodName,ExternalLibrary,PossibleExternal
"Found: ""AES/ECB/PKCS5Padding""",Found broken crypto schemes,1,Found broken crypto schemes,256,1,kellinwood.security.zipsigner.optional.PasswordObfuscator,encode,false,false
"Found: ""AES/ECB/PKCS5Padding""",Found broken crypto schemes,1,Found broken crypto schemes,256,1,kellinwood.security.zipsigner.optional.PasswordObfuscator,decode,false,false
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.bouncycastle.pqc.math.linearalgebra.GF2nPolynomialElement,solveQuadraticEquation,true,true
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.bouncycastle.math.ec.ECFieldElement$Fp,sqrt,true,true
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.fdroid.fdroid.work.FDroidMetricsWorker$RawEvent,hashCode,true,true
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.bouncycastle.asn1.ua.DSTU4145PointEncoder,solveQuadraticEquation,true,true
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.bouncycastle.math.raw.Mod,random,true,true
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.bouncycastle.math.ec.ECCurve$AbstractF2m,solveQuadraticEquation,true,true
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,com.bumptech.glide.load.resource.gif.GifFrameLoader,getFrameSignature,false,true
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.fdroid.fdroid.views.categories.CategoryController,getBackgroundColour,true,true
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,androidx.activity.result.ActivityResultRegistry,init,true,true
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.bouncycastle.pqc.math.linearalgebra.GF2Polynomial,clinit,true,true
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,javax.jmdns.impl.DNSRecord,init,false,false
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.fdroid.fdroid.views.apps.FeatureImage,setColour,true,true
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.fdroid.fdroid.Preferences,getDefaultLocalRepoName,true,true
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,javax.jmdns.impl.JmDNSImpl,clinit,false,false
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.bouncycastle.pqc.math.linearalgebra.GF2nONBField,elementOfOrder,true,true
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.fdroid.fdroid.FDroidApp,initWifiSettings,true,true
Should at least get One accepted Issuer from Other Sources in getAcceptedIssuers method of jcajce.JcaJceUtils,Uses untrusted TrustManager,4,Uses untrusted TrustManager,349,1,jcajce.JcaJceUtils,getAcceptedIssuers,false,false
Should throw java.security.cert.CertificateException in check(Client|Server)Trusted method of jcajce.JcaJceUtils,Uses untrusted TrustManager,4,Uses untrusted TrustManager,349,1,jcajce.JcaJceUtils,UNKNOWN,false,false
Should at least get One accepted Issuer from Other Sources in getAcceptedIssuers method of jcajce.JcaJceUtils,Uses untrusted TrustManager,4,Uses untrusted TrustManager,349,1,jcajce.JcaJceUtils,getAcceptedIssuers,false,false
Should throw java.security.cert.CertificateException in check(Client|Server)Trusted method of jcajce.JcaJceUtils,Uses untrusted TrustManager,4,Uses untrusted TrustManager,349,1,jcajce.JcaJceUtils,UNKNOWN,false,false
"Found: ""SHA1""",Found broken hash functions,2,Found broken hash functions,759,1,kellinwood.security.zipsigner.optional.JKS,encryptKey,false,false
"Found: ""SHA1""",Found broken hash functions,2,Found broken hash functions,759,1,kellinwood.security.zipsigner.optional.JKS,decryptKey,false,false
"Found: ""SHA1""",Found broken hash functions,2,Found broken hash functions,759,1,org.bouncycastle.cert.jcajce.JcaX509ExtensionUtils,init,true,true
"Found: ""SHA""",Found broken hash functions,2,Found broken hash functions,759,1,kellinwood.security.zipsigner.optional.JKS,engineLoad,false,false
"Found: ""MD5""",Found broken hash functions,2,Found broken hash functions,759,1,kellinwood.security.zipsigner.ZipSigner,autoDetectKey,false,false
"Found: ""md5""",Found broken hash functions,2,Found broken hash functions,759,1,org.fdroid.fdroid.Utils,getsig,true,true
"Found: ""MD5""",Found broken hash functions,2,Found broken hash functions,759,1,org.fdroid.fdroid.Utils,getPackageSig,true,true
"Found: ""SHA1""",Found broken hash functions,2,Found broken hash functions,759,1,org.conscrypt.NativeCrypto,X509_NAME_hash,true,true
"Found: ""SHA1""",Found broken hash functions,2,Found broken hash functions,759,1,kellinwood.security.zipsigner.ZipSigner,generateSignatureFile,false,false
"Found: ""MD5""",Found broken hash functions,2,Found broken hash functions,759,1,org.conscrypt.NativeCrypto,X509_NAME_hash_old,true,true
"Found: ""SHA1""",Found broken hash functions,2,Found broken hash functions,759,1,kellinwood.security.zipsigner.optional.JKS,engineStore,false,false
"Found: ""SHA1""",Found broken hash functions,2,Found broken hash functions,759,1,kellinwood.security.zipsigner.ZipSignature,init,false,false
"Found: ""SHA1""",Found broken hash functions,2,Found broken hash functions,759,1,kellinwood.security.zipsigner.ZipSigner,writeSignatureBlock,false,false
"Found: ""SHA1""",Found broken hash functions,2,Found broken hash functions,759,1,kellinwood.security.zipsigner.ZipSigner,addDigestsToManifest,false,false
"Found: Constant ""harold-and-maude""",Used constant keys in code,3,Used constant keys in code,547,1,kellinwood.security.zipsigner.optional.PasswordObfuscator,init,false,false
"Found: Constant ""harold-and-maude""",Used constant keys in code,3,Used constant keys in code,547,1,kellinwood.security.zipsigner.optional.PasswordObfuscator,decode,false,false
"Found: Constant ""ENC""",Used constant keys in code,3,Used constant keys in code,547,1,org.bouncycastle.operator.jcajce.OperatorUtils,getJceKey,true,true
"Found: Constant ""class Lkellinwood/security/zipsigner/optional/PasswordObfuscator;""",Used constant keys in code,3,Used constant keys in code,547,1,kellinwood.security.zipsigner.optional.PasswordObfuscator,init,false,false
"Found: ""2""",Used < 1000 iteration for PBE,8,Used < 1000 iteration for PBE,326,1,org.bouncycastle.jcajce.provider.symmetric.Twofish$PBEWithSHA,init,true,true
"Found: ""3""",Used < 1000 iteration for PBE,8,Used < 1000 iteration for PBE,326,1,org.bouncycastle.jcajce.provider.keystore.bc.BcKeyStoreSpi$StoreEntry,init,true,true
"Found: ""0""",Used < 1000 iteration for PBE,8,Used < 1000 iteration for PBE,326,1,org.bouncycastle.jcajce.provider.symmetric.RC2$PBEWithMD5AndRC2,init,true,true
"Found: ""1""",Used < 1000 iteration for PBE,8,Used < 1000 iteration for PBE,326,1,org.bouncycastle.jcajce.provider.keystore.bc.BcKeyStoreSpi,loadStore,true,true
"Found: ""20""",Used < 1000 iteration for PBE,8,Used < 1000 iteration for PBE,326,1,org.bouncycastle.jcajce.provider.keystore.pkcs12.PKCS12KeyStoreSpi,init,true,true
"Found: ""2""",Used < 1000 iteration for PBE,8,Used < 1000 iteration for PBE,326,1,org.bouncycastle.jcajce.provider.symmetric.AES$PBEWithSHA256AESCBC128,init,true,true
"Found: ""1""",Used < 1000 iteration for PBE,8,Used < 1000 iteration for PBE,326,1,org.bouncycastle.openssl.jcajce.PEMUtilities,getKey,true,true
"Found: ""2""",Used < 1000 iteration for PBE,8,Used < 1000 iteration for PBE,326,1,org.bouncycastle.jcajce.provider.symmetric.AES$PBEWithSHA1AESCBC256,init,true,true
"Found: ""0""",Used < 1000 iteration for PBE,8,Used < 1000 iteration for PBE,326,1,org.bouncycastle.jcajce.provider.symmetric.DES$PBEWithMD2,init,true,true
"Found: ""2""",Used < 1000 iteration for PBE,8,Used < 1000 iteration for PBE,326,1,org.bouncycastle.jcajce.provider.symmetric.AES$PBEWithSHA1AESCBC128,init,true,true
"Found: ""2""",Used < 1000 iteration for PBE,8,Used < 1000 iteration for PBE,326,1,org.bouncycastle.jcajce.provider.keystore.bc.BcKeyStoreSpi,loadStore,true,true
"Found: ""2""",Used < 1000 iteration for PBE,8,Used < 1000 iteration for PBE,326,1,org.bouncycastle.jcajce.provider.symmetric.AES$PBEWithSHA1AESCBC192,init,true,true
