Message,Description,RuleNumber,RuleDesc,CWEId,Severity,ClassName,MethodName,ExternalLibrary,PossibleExternal
"Found: ""AES/ECB/PKCS5Padding""",Found broken crypto schemes,1,Found broken crypto schemes,256,1,kellinwood.security.zipsigner.optional.PasswordObfuscator,encode,false,false
"Found: ""AES/ECB/PKCS5Padding""",Found broken crypto schemes,1,Found broken crypto schemes,256,1,kellinwood.security.zipsigner.optional.PasswordObfuscator,decode,false,false
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,androidx.transition.Explode,calculateOut,true,true
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.bouncycastle.pqc.math.linearalgebra.GF2nPolynomialElement,solveQuadraticEquation,false,false
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.bouncycastle.math.ec.ECFieldElement$Fp,sqrt,false,false
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.bouncycastle.asn1.ua.DSTU4145PointEncoder,solveQuadraticEquation,false,false
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.bouncycastle.math.raw.Mod,random,false,false
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.bouncycastle.math.ec.ECCurve$AbstractF2m,solveQuadraticEquation,false,false
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,com.bumptech.glide.load.resource.gif.GifFrameLoader,getFrameSignature,true,true
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,androidx.activity.result.ActivityResultRegistry,init,true,true
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.apache.commons.net.ftp.FTPClient,init,false,false
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.bouncycastle.pqc.math.linearalgebra.GF2Polynomial,clinit,false,false
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,javax.jmdns.impl.DNSRecord,init,false,false
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.fdroid.fdroid.Preferences,getDefaultLocalRepoName,false,false
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,javax.jmdns.impl.JmDNSImpl,clinit,false,false
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.bouncycastle.pqc.math.linearalgebra.GF2nONBField,elementOfOrder,false,false
Didn't manually verify hostname in sslNegotiation,Should check HostnameVerification manually,12,Should check HostnameVerification manually,297,1,org.apache.commons.net.ftp.FTPSClient,sslNegotiation,false,false
Didn't manually verify hostname in performSSLNegotiation,Should check HostnameVerification manually,12,Should check HostnameVerification manually,297,1,org.apache.commons.net.smtp.SMTPSClient,performSSLNegotiation,false,false
Didn't manually verify hostname in performSSLNegotiation,Should check HostnameVerification manually,12,Should check HostnameVerification manually,297,1,org.apache.commons.net.imap.IMAPSClient,performSSLNegotiation,false,false
Didn't manually verify hostname in performSSLNegotiation,Should check HostnameVerification manually,12,Should check HostnameVerification manually,297,1,org.apache.commons.net.pop3.POP3SClient,performSSLNegotiation,false,false
Should at least get One accepted Issuer from Other Sources in getAcceptedIssuers method of jcajce.JcaJceUtils,Uses untrusted TrustManager,4,Uses untrusted TrustManager,349,1,jcajce.JcaJceUtils,getAcceptedIssuers,false,false
Should throw java.security.cert.CertificateException in check(Client|Server)Trusted method of jcajce.JcaJceUtils,Uses untrusted TrustManager,4,Uses untrusted TrustManager,349,1,jcajce.JcaJceUtils,UNKNOWN,false,false
Should at least get One accepted Issuer from Other Sources in getAcceptedIssuers method of jcajce.JcaJceUtils,Uses untrusted TrustManager,4,Uses untrusted TrustManager,349,1,jcajce.JcaJceUtils,getAcceptedIssuers,false,false
Should throw java.security.cert.CertificateException in check(Client|Server)Trusted method of jcajce.JcaJceUtils,Uses untrusted TrustManager,4,Uses untrusted TrustManager,349,1,jcajce.JcaJceUtils,UNKNOWN,false,false
Should at least get One accepted Issuer from Other Sources in getAcceptedIssuers method of UNKNOWN,Uses untrusted TrustManager,4,Uses untrusted TrustManager,349,1,UNKNOWN,getAcceptedIssuers,false,false
Should throw java.security.cert.CertificateException in check(Client|Server)Trusted method of UNKNOWN,Uses untrusted TrustManager,4,Uses untrusted TrustManager,349,1,UNKNOWN,UNKNOWN,false,false
Should at least get One accepted Issuer from Other Sources in getAcceptedIssuers method of UNKNOWN,Uses untrusted TrustManager,4,Uses untrusted TrustManager,349,1,UNKNOWN,getAcceptedIssuers,false,false
Should throw java.security.cert.CertificateException in check(Client|Server)Trusted method of UNKNOWN,Uses untrusted TrustManager,4,Uses untrusted TrustManager,349,1,UNKNOWN,UNKNOWN,false,false
"Found: ""SHA1""",Found broken hash functions,2,Found broken hash functions,759,1,kellinwood.security.zipsigner.optional.JKS,encryptKey,false,false
"Found: ""SHA1""",Found broken hash functions,2,Found broken hash functions,759,1,kellinwood.security.zipsigner.optional.JKS,decryptKey,false,false
"Found: ""SHA1""",Found broken hash functions,2,Found broken hash functions,759,1,org.bouncycastle.cert.jcajce.JcaX509ExtensionUtils,init,false,false
"Found: ""MD5""",Found broken hash functions,2,Found broken hash functions,759,1,org.apache.commons.io.input.MessageDigestCalculatingInputStream,init,false,true
"Found: ""MD5""",Found broken hash functions,2,Found broken hash functions,759,1,org.apache.commons.net.pop3.POP3Client,login,false,false
"Found: ""SHA""",Found broken hash functions,2,Found broken hash functions,759,1,kellinwood.security.zipsigner.optional.JKS,engineLoad,false,false
"Found: ""MD5""",Found broken hash functions,2,Found broken hash functions,759,1,kellinwood.security.zipsigner.ZipSigner,autoDetectKey,false,false
"Found: ""md5""",Found broken hash functions,2,Found broken hash functions,759,1,org.fdroid.fdroid.Utils,getsig,false,false
"Found: ""MD5""",Found broken hash functions,2,Found broken hash functions,759,1,org.fdroid.fdroid.Utils,getPackageSig,false,false
"Found: ""SHA1""",Found broken hash functions,2,Found broken hash functions,759,1,kellinwood.security.zipsigner.ZipSigner,generateSignatureFile,false,false
"Found: ""SHA1""",Found broken hash functions,2,Found broken hash functions,759,1,kellinwood.security.zipsigner.optional.JKS,engineStore,false,false
"Found: ""SHA1""",Found broken hash functions,2,Found broken hash functions,759,1,kellinwood.security.zipsigner.ZipSignature,init,false,false
"Found: ""SHA1""",Found broken hash functions,2,Found broken hash functions,759,1,kellinwood.security.zipsigner.ZipSigner,writeSignatureBlock,false,false
"Found: ""SHA1""",Found broken hash functions,2,Found broken hash functions,759,1,kellinwood.security.zipsigner.ZipSigner,addDigestsToManifest,false,false
"Found: Constant ""harold-and-maude""",Used constant keys in code,3,Used constant keys in code,547,1,kellinwood.security.zipsigner.optional.PasswordObfuscator,init,false,false
"Found: Constant ""harold-and-maude""",Used constant keys in code,3,Used constant keys in code,547,1,kellinwood.security.zipsigner.optional.PasswordObfuscator,decode,false,false
"Found: Constant ""ENC""",Used constant keys in code,3,Used constant keys in code,547,1,org.bouncycastle.operator.jcajce.OperatorUtils,getJceKey,false,false
"Found: Constant ""class Lkellinwood/security/zipsigner/optional/PasswordObfuscator;""",Used constant keys in code,3,Used constant keys in code,547,1,kellinwood.security.zipsigner.optional.PasswordObfuscator,init,false,false
"Found: ""2""",Used < 1000 iteration for PBE,8,Used < 1000 iteration for PBE,326,1,org.bouncycastle.jcajce.provider.symmetric.Twofish$PBEWithSHA,init,true,true
"Found: ""3""",Used < 1000 iteration for PBE,8,Used < 1000 iteration for PBE,326,1,org.bouncycastle.jcajce.provider.keystore.bc.BcKeyStoreSpi$StoreEntry,init,true,true
"Found: ""0""",Used < 1000 iteration for PBE,8,Used < 1000 iteration for PBE,326,1,org.bouncycastle.jcajce.provider.symmetric.RC2$PBEWithMD5AndRC2,init,true,true
"Found: ""1""",Used < 1000 iteration for PBE,8,Used < 1000 iteration for PBE,326,1,org.bouncycastle.jcajce.provider.keystore.bc.BcKeyStoreSpi,loadStore,true,true
"Found: ""20""",Used < 1000 iteration for PBE,8,Used < 1000 iteration for PBE,326,1,org.bouncycastle.jcajce.provider.keystore.pkcs12.PKCS12KeyStoreSpi,init,true,true
