Message,Description,RuleNumber,RuleDesc,CWEId,Severity,ClassName,MethodName,ExternalLibrary,PossibleExternal
"Found: ""AES/ECB/NoPadding""",Found broken crypto schemes,1,Found broken crypto schemes,256,1,com.bitsofproof.supernode.wallet.KeyFormatter,parseBIP38EC,false,true
"Found: ""AES/ECB/NoPadding""",Found broken crypto schemes,1,Found broken crypto schemes,256,1,cordova.BIP38,run,false,false
"Found: ""PBEWithSHAAnd3-KeyTripleDES-CBC""",Found broken crypto schemes,1,Found broken crypto schemes,256,1,org.bouncycastle.jcajce.provider.keystore.bc.BcKeyStoreSpi$StoreEntry,getObject,false,false
"Found: ""AES/ECB/NoPadding""",Found broken crypto schemes,1,Found broken crypto schemes,256,1,cordova.BIP38,run,false,false
"Found: ""PBEWithSHAAnd3-KeyTripleDES-CBC""",Found broken crypto schemes,1,Found broken crypto schemes,256,1,org.bouncycastle.jcajce.provider.keystore.bc.BcKeyStoreSpi$StoreEntry,init,false,false
"Found: ""AES/ECB/NoPadding""",Found broken crypto schemes,1,Found broken crypto schemes,256,1,com.bitsofproof.supernode.wallet.KeyFormatter,bytesBIP38,false,true
"Found: ""AES/ECB/NoPadding""",Found broken crypto schemes,1,Found broken crypto schemes,256,1,com.bitsofproof.supernode.wallet.KeyFormatter,parseBIP38NoEC,false,true
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.java_websocket.drafts.Draft_76,init,false,false
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.java_websocket.drafts.Draft_10,init,false,false
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.java_websocket.drafts.Draft_76,generateKey,false,false
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,com.github.ghetolay.jwamp.rpc.DefaultRPCSender,generateCallId,false,true
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.bouncycastle.pqc.math.linearalgebra.GF2nPolynomialElement,solveQuadraticEquation,false,false
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.bouncycastle.math.ec.ECFieldElement$Fp,sqrt,false,false
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.bouncycastle.pqc.math.linearalgebra.GF2nONBField,getRandomRoot,false,false
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.bouncycastle.pqc.math.linearalgebra.GF2Polynomial,clinit,false,false
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.bouncycastle.math.ec.ECCurve$F2m,solveQuadraticEquation,false,false
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.eclipse.jetty.websocket.RandomMaskGen,init,false,false
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.bouncycastle.pqc.math.linearalgebra.GF2nPolynomialField,getRandomRoot,false,false
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,de.tavendo.autobahn.WampConnection,init,false,false
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.java_websocket.drafts.Draft_75,init,false,false
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.bouncycastle.asn1.ua.DSTU4145PointEncoder,solveQuadraticEquation,false,false
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.bouncycastle.pqc.math.linearalgebra.GF2nONBField,elementOfOrder,false,false
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.eclipse.jetty.websocket.WebSocketClientFactory$HandshakeConnection,init,false,false
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,de.tavendo.autobahn.WebSocketWriter,init,false,false
Should at least get One accepted Issuer from Other Sources in getAcceptedIssuers method of ssl.SslContextFactory,Uses untrusted TrustManager,4,Uses untrusted TrustManager,349,1,ssl.SslContextFactory,getAcceptedIssuers,false,false
Should throw java.security.cert.CertificateException in check(Client|Server)Trusted method of ssl.SslContextFactory,Uses untrusted TrustManager,4,Uses untrusted TrustManager,349,1,ssl.SslContextFactory,UNKNOWN,false,false
"Found: ""SHA1""",Found broken hash functions,2,Found broken hash functions,759,1,org.java_websocket.drafts.Draft_10,generateFinalKey,false,false
"Found: ""SHA1""",Found broken hash functions,2,Found broken hash functions,759,1,org.bouncycastle.ocsp.RespID,init,false,false
"Found: ""SHA-1""",Found broken hash functions,2,Found broken hash functions,759,1,com.facebook.internal.Utility,sha1hash,true,true
"Found: ""MD5""",Found broken hash functions,2,Found broken hash functions,759,1,org.java_websocket.drafts.Draft_76,createChallenge,false,false
"Found: ""MD5""",Found broken hash functions,2,Found broken hash functions,759,1,com.facebook.internal.Utility,md5hash,true,true
"Found: ""SHA1""",Found broken hash functions,2,Found broken hash functions,759,1,org.eclipse.jetty.websocket.WebSocketConnectionRFC6455,hashKey,false,false
"Found: ""MD5""",Found broken hash functions,2,Found broken hash functions,759,1,com.squareup.okhttp.internal.Util,hash,false,true
"Found: Constant ""encrypt""",Used constant keys in code,3,Used constant keys in code,547,1,it.greenaddress.cordova.BIP38,execute,false,false
"Found: Constant ""decrypt""",Used constant keys in code,3,Used constant keys in code,547,1,it.greenaddress.cordova.BIP38,execute,false,false
"Found: ""4""",Used < 1000 iteration for PBE,8,Used < 1000 iteration for PBE,326,1,org.bouncycastle.jcajce.provider.keystore.bc.BcKeyStoreSpi$StoreEntry,init,false,false
"Found: ""3""",Used < 1000 iteration for PBE,8,Used < 1000 iteration for PBE,326,1,org.bouncycastle.jcajce.provider.keystore.bc.BcKeyStoreSpi$StoreEntry,init,false,false
"Found: ""1""",Used < 1000 iteration for PBE,8,Used < 1000 iteration for PBE,326,1,org.bouncycastle.jcajce.provider.keystore.bc.BcKeyStoreSpi,loadStore,false,false
"Found: ""1""",Used < 1000 iteration for PBE,8,Used < 1000 iteration for PBE,326,1,org.bouncycastle.jcajce.provider.keystore.bc.BcKeyStoreSpi$StoreEntry,init,false,false
"Found: ""2""",Used < 1000 iteration for PBE,8,Used < 1000 iteration for PBE,326,1,org.bouncycastle.jcajce.provider.keystore.bc.BcKeyStoreSpi,loadStore,false,false
"Found: ""www.bouncycastle.org""",Found predictable seeds in code,11,Found predictable seeds in code,760,1,org.bouncycastle.crypto.examples.DESExample,init,false,false
"Found: ""100""",Used Predictable KeyStore Password,14,Used Predictable KeyStore Password,321,1,org.bouncycastle.jce.examples.PKCS12Example,clinit,false,false
"Found: ""108""",Used Predictable KeyStore Password,14,Used Predictable KeyStore Password,321,1,org.bouncycastle.jce.examples.PKCS12Example,clinit,false,false
"Found: ""101""",Used Predictable KeyStore Password,14,Used Predictable KeyStore Password,321,1,org.bouncycastle.jce.examples.PKCS12Example,clinit,false,false
"Found: ""119""",Used Predictable KeyStore Password,14,Used Predictable KeyStore Password,321,1,org.bouncycastle.jce.examples.PKCS12Example,clinit,false,false
"Found: ""104""",Used Predictable KeyStore Password,14,Used Predictable KeyStore Password,321,1,org.bouncycastle.jce.examples.PKCS12Example,clinit,false,false
"Found: ""114""",Used Predictable KeyStore Password,14,Used Predictable KeyStore Password,321,1,org.bouncycastle.jce.examples.PKCS12Example,clinit,false,false
"Found: ""108""",Used Predictable KeyStore Password,14,Used Predictable KeyStore Password,321,1,org.bouncycastle.jce.examples.PKCS12Example,clinit,false,false
"Found: ""111""",Used Predictable KeyStore Password,14,Used Predictable KeyStore Password,321,1,org.bouncycastle.jce.examples.PKCS12Example,clinit,false,false
"Found: ""111""",Used Predictable KeyStore Password,14,Used Predictable KeyStore Password,321,1,org.bouncycastle.jce.examples.PKCS12Example,clinit,false,false
"Found: ""108""",Used Predictable KeyStore Password,14,Used Predictable KeyStore Password,321,1,org.bouncycastle.jce.examples.PKCS12Example,clinit,false,false
"Found: ""32""",Used Predictable KeyStore Password,14,Used Predictable KeyStore Password,321,1,org.bouncycastle.jce.examples.PKCS12Example,clinit,false,false
"Found: ""http://www.google.""",Used HTTP Protocol,7,Used HTTP Protocol,650,1,com.google.zxing.client.android.result.supplement.ProductResultInfoRetriever,retrieveSupplementalInfo,true,true
"Found: ""http://""",Used HTTP Protocol,7,Used HTTP Protocol,650,1,org.apache.log4j.lf5.viewer.LogBrokerMonitor,requestOpenURL,false,false
"Found: ""http://www.google.com/books?id=""",Used HTTP Protocol,7,Used HTTP Protocol,650,1,com.google.zxing.client.android.book.SearchBookContentsActivity$NetworkTask,doInBackground,true,true
"Found: ""http://""",Used HTTP Protocol,7,Used HTTP Protocol,650,1,org.apache.log4j.helpers.SyslogWriter,init,false,false
"Found: ""http://www.google.com/books?vid=isbn""",Used HTTP Protocol,7,Used HTTP Protocol,650,1,com.google.zxing.client.android.book.SearchBookContentsActivity$NetworkTask,doInBackground,true,true
