apk_name,external_libs_count,native_libs_count,possible_external
com.tnibler.cryptocam_16.library_added.json,0,4,0
com.daemon.ssh_12.library_added.json,1,9,1
com.securefilemanager.app_12.library_added.json,1,8,1
org.chickenhook.binderfuzzy_2.library_added.json,0,3,0
com.nitish.privacyindicator_8.library_added.json,0,2,0
net.i2p.android.router_4745261.library_added.json,3,42,0
net.typeblog.shelter_20.library_added.json,1,0,1
us.spotco.motionlock_14.library_added.json,0,0,0
org.torproject.torservices_2004.library_added.json,0,1,0
com.yogeshpaliyal.keypass_1401.library_added.json,24,8,1
sushi.hardcore.droidfs_21.library_added.json,1,8,1
com.etesync.notes_10700.library_added.json,20,20,0
com.beemdevelopment.aegis_50.library_added.json,5,3,1
dev.leonlatsch.photok_18.library_added.json,18,2,3
org.sufficientlysecure.keychain_57500.library_added.json,0,56,0
com.vecturagames.android.app.passwordgenerator_34.library_added.json,0,3,0
design.codeux.authpass.fdroid_159.library_added.json,1,8,1
net.yolosec.routerkeygen2_80.library_added.json,0,11,0
com.aravi.dot_30009.library_added.json,0,1,0
me.billdietrich.fake_contacts_4.library_added.json,0,0,0
net.xvello.salasana_3.library_added.json,2,1,1
com.kunzisoft.keepass.libre_91.library_added.json,46,2,2
com.sovworks.edslite_237.library_added.json,6,0,1
eu.faircode.netguard_2021111301.library_added.json,0,4,1
com.emanuelef.remote_capture_42.library_added.json,3,2,0
org.eu.exodus_privacy.exodusprivacy_10.library_added.json,1,3,1
com.aidinhut.simpletextcrypt_12.library_added.json,1,0,0
hans.b.skewy1_0_1.library_added.json,1,0,1
org.ea.sqrl_54.library_added.json,0,7,0
com.lesspass.android_90503.library_added.json,21,12,0
com.u2fa.secur_5.library_added.json,0,0,0
com.servoz.appsdisabler_122.library_added.json,1,3,1
us.spotco.malwarescanner_76.library_added.json,1,2,1
com.crazylegend.vigilante_17.library_added.json,1,4,0
com.github.onetimepass_1002003.library_added.json,3,9,1
com.vecturagames.android.app.passwordmaster_6.library_added.json,9,4,1
net.ivpn.client_100.library_added.json,18,3,2
org.cry.otp_22.library_added.json,1,1,1
pro.kherel.selfprivacy_8.library_added.json,1,0,1
tech.projectmatris.antimalwareapp_10400.library_added.json,2,4,1
cityfreqs.com.pilfershushjammer_41.library_added.json,8,0,1
com.etesync.syncadapter_20204.library_added.json,0,12,1
com.nextcloudpasswords_16.library_added.json,22,3,0
com.smilla.greentooth_5.library_added.json,0,0,0
com.android.keepass_203.library_added.json,34,0,2
org.secuso.privacyfriendlypasswordgenerator_5.library_added.json,2,4,0
com.wireguard.android_491.library_added.json,1,2,1
org.shadowice.flocke.andotp_39.library_added.json,1,10,1
me.impa.knockonports_46.library_added.json,2,2,2
