ErrorType;Class;Method;ViolatedRule;Object;Statement
ConstraintError;androidx.biometric.CryptoObjectUtils;androidx.biometric.BiometricPrompt$CryptoObject createFakeCryptoObject();violating CrySL rule for java.security.KeyStore (on Object #5d15cbe48bebd66ba556c7cc2c1aacf883e0dbfee23dc7d03614b006191129bf);First parameter (with value "AndroidKeyStore") should be any of {JCEKS, JKS, DKS, PKCS11, PKCS12};$r0 = staticinvoke <java.security.KeyStore: java.security.KeyStore getInstance(java.lang.String)>(varReplacer4019)
RequiredPredicateError;androidx.biometric.CryptoObjectUtils;androidx.biometric.BiometricPrompt$CryptoObject createFakeCryptoObject();violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke $r6.<javax.crypto.Cipher: void init(int,java.security.Key)>(varReplacer4025, $r5)
ConstraintError;androidx.biometric.CryptoObjectUtils;androidx.biometric.BiometricPrompt$CryptoObject createFakeCryptoObject();violating CrySL rule for javax.crypto.Cipher (on Object #6ceeaade5b9c3c56785638f160a5ee26b27acbae8e270575e0aab055edfb2156);First parameter (with value "AES/CBC/PKCS7Padding") should be any of AES/CBC/{PKCS5Padding, ISO10126Padding};$r6 = staticinvoke <javax.crypto.Cipher: javax.crypto.Cipher getInstance(java.lang.String)>(varReplacer4018)
RequiredPredicateError;com.trilead.ssh2.channel.AuthAgentForwardThread;void processSignRequest(com.trilead.ssh2.packets.TypesReader);violating CrySL rule for java.security.Signature ;First parameter was not properly generated as generated Privkey;virtualinvoke $r18.<java.security.Signature: void initSign(java.security.PrivateKey)>($r12)
ConstraintError;com.trilead.ssh2.channel.AuthAgentForwardThread;void processSignRequest(com.trilead.ssh2.packets.TypesReader);violating CrySL rule for java.security.Signature (on Object #4ee9127a16f89cde5d2318d65f06339a303103df7bf313b7a217494efd77c043);First parameter (with value "SHA1withDSA") should be any of {SHA256withRSA, SHA256withECDSA, SHA256withDSA, SHA384withRSA, SHA512withRSA, SHA384withECDSA, SHA512withECDSA};$r18 = staticinvoke <java.security.Signature: java.security.Signature getInstance(java.lang.String)>(varReplacer7364)
RequiredPredicateError;com.trilead.ssh2.channel.AuthAgentForwardThread;void addIdentity(com.trilead.ssh2.packets.TypesReader,boolean);violating CrySL rule for java.security.KeyPair ;First parameter was not properly generated as generated Pubkey;specialinvoke $r40.<java.security.KeyPair: void <init>(java.security.PublicKey,java.security.PrivateKey)>($r29, $r30)
RequiredPredicateError;com.trilead.ssh2.channel.AuthAgentForwardThread;void addIdentity(com.trilead.ssh2.packets.TypesReader,boolean);violating CrySL rule for java.security.KeyFactory ;First parameter was not properly generated as specced Key;$r29 = virtualinvoke $r28.<java.security.KeyFactory: java.security.PublicKey generatePublic(java.security.spec.KeySpec)>($r41)
RequiredPredicateError;com.trilead.ssh2.channel.AuthAgentForwardThread;void addIdentity(com.trilead.ssh2.packets.TypesReader,boolean);violating CrySL rule for java.security.KeyPair ;Second parameter was not properly generated as generated Privkey;specialinvoke $r40.<java.security.KeyPair: void <init>(java.security.PublicKey,java.security.PrivateKey)>($r29, $r30)
ConstraintError;com.trilead.ssh2.auth.AuthenticationManager;boolean authenticatePublicKey(java.lang.String,char[],java.lang.String,java.security.SecureRandom);violating CrySL rule for java.security.Signature (on Object #174505774d887cba55cc2b17966ac0b91f82457ebf9655b89ecb5e90d5e4e04b);First parameter (with value "SHA1withDSA") should be any of {SHA256withRSA, SHA256withECDSA, SHA256withDSA, SHA384withRSA, SHA512withRSA, SHA384withECDSA, SHA512withECDSA};$r48 = staticinvoke <java.security.Signature: java.security.Signature getInstance(java.lang.String)>(varReplacer7534)
RequiredPredicateError;com.trilead.ssh2.auth.AuthenticationManager;boolean authenticatePublicKey(java.lang.String,char[],java.lang.String,java.security.SecureRandom);violating CrySL rule for java.security.KeyPair ;Second parameter was not properly generated as generated Privkey;specialinvoke $r72.<java.security.KeyPair: void <init>(java.security.PublicKey,java.security.PrivateKey)>($r71, $r70)
