ErrorType;Class;Method;ViolatedRule;Object;Statement
RequiredPredicateError;c.b.a.b.b;void <init>(android.content.Context);violating CrySL rule for javax.crypto.spec.SecretKeySpec ;First parameter was not properly generated as prepared Key Material;specialinvoke $r11.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>($r8, varReplacer3086)
ConstraintError;c.b.a.b.b;void <init>(android.content.Context);violating CrySL rule for javax.crypto.Cipher (on Object #a602c90cb92c67e51f629fb9e42869416aa6eceffd9c1d587ba40a7ed2e7bfa8);First parameter (with value "AES/CBC/PKCS7Padding") should be any of AES/CBC/{PKCS5Padding, ISO10126Padding};$r7 = staticinvoke <javax.crypto.Cipher: javax.crypto.Cipher getInstance(java.lang.String)>(varReplacer3083)
RequiredPredicateError;c.b.a.b.b;byte[] b(byte[]);violating CrySL rule for javax.crypto.spec.IvParameterSpec ;First parameter was not properly generated as randomized;specialinvoke $r1.<javax.crypto.spec.IvParameterSpec: void <init>(byte[])>($r2)
RequiredPredicateError;c.b.a.b.b;byte[] a(byte[]);violating CrySL rule for javax.crypto.spec.IvParameterSpec ;First parameter was not properly generated as randomized;specialinvoke $r5.<javax.crypto.spec.IvParameterSpec: void <init>(byte[])>($r3)
ConstraintError;c.b.a.b.a;void b(android.content.Context);violating CrySL rule for java.security.KeyStore (on Object #5b57a70bd907d02aeb794d2589fa73fb393792c2497088e785efc5fd411b8c11);First parameter (with value "AndroidKeyStore") should be any of {JCEKS, JKS, DKS, PKCS11, PKCS12};$r3 = staticinvoke <java.security.KeyStore: java.security.KeyStore getInstance(java.lang.String)>(varReplacer5145)
ConstraintError;c.b.a.b.a;java.security.PrivateKey c();violating CrySL rule for java.security.KeyStore (on Object #ace5201f429d1e8672ad5f0c8c78b699cbb991a9710cf76786c58a7e1364acec);First parameter (with value "AndroidKeyStore") should be any of {JCEKS, JKS, DKS, PKCS11, PKCS12};$r1 = staticinvoke <java.security.KeyStore: java.security.KeyStore getInstance(java.lang.String)>(varReplacer5151)
TypestateError;c.b.a.b.a;byte[] l(java.security.Key);violating CrySL rule for javax.crypto.Cipher (on Object #b2514d7c4b4129096f96dea79143b8f2b3d5543214216e6483869420455b2d2a);Unexpected call to method wrap on object of type javax.crypto.Cipher. Expect a call to one of the following methods init,updateAAD;$r4 = virtualinvoke $r3.<javax.crypto.Cipher: byte[] wrap(java.security.Key)>($r1)
ConstraintError;c.b.a.b.a;java.security.PublicKey d();violating CrySL rule for java.security.KeyStore (on Object #a2c6e52a040b50d9709a7dd8c1db55fdbaa71aa316e19a7d543d4969f84818de);First parameter (with value "AndroidKeyStore") should be any of {JCEKS, JKS, DKS, PKCS11, PKCS12};$r1 = staticinvoke <java.security.KeyStore: java.security.KeyStore getInstance(java.lang.String)>(varReplacer5156)
RequiredPredicateError;c.b.a.b.a;java.security.Key k(byte[],java.lang.String);violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke $r4.<javax.crypto.Cipher: void init(int,java.security.Key)>(varReplacer4471, $r3)
RequiredPredicateError;c.b.a.b.a;void a(android.content.Context);violating CrySL rule for java.security.KeyPairGenerator ;First parameter was not properly generated as prepared R S A;virtualinvoke $r6.<java.security.KeyPairGenerator: void initialize(java.security.spec.AlgorithmParameterSpec)>($r7)
