ErrorType;Class;Method;ViolatedRule;Object;Statement
RequiredPredicateError;okhttp3.internal.platform.b;javax.net.ssl.SSLSocketFactory l(javax.net.ssl.X509TrustManager);violating CrySL rule for javax.net.ssl.SSLContext ;First parameter was not properly generated as generated Key Managers;virtualinvoke $r3.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer37541, $r6, varReplacer37541)
RequiredPredicateError;okhttp3.internal.platform.b;javax.net.ssl.SSLSocketFactory l(javax.net.ssl.X509TrustManager);violating CrySL rule for javax.net.ssl.SSLContext ;Third parameter was not properly generated as randomized;virtualinvoke $r3.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer37541, $r6, varReplacer37541)
RequiredPredicateError;okhttp3.internal.platform.b;javax.net.ssl.SSLSocketFactory l(javax.net.ssl.X509TrustManager);violating CrySL rule for javax.net.ssl.SSLContext ;Second parameter was not properly generated as generated Trust Managers;virtualinvoke $r3.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer37541, $r6, varReplacer37541)
ConstraintError;okhttp3.internal.platform.b;javax.net.ssl.SSLSocketFactory l(javax.net.ssl.X509TrustManager);violating CrySL rule for javax.net.ssl.SSLContext (on Object #c3a8d09541cdefa1aad60d04b6cb06851551a3e11e4df17b65324f52809521e3);First parameter (with value "TLS") should be any of {TLSv1.2, TLSv1.3};$r3 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String,java.security.Provider)>(varReplacer37540, $r2)
ConstraintError;okhttp3.internal.platform.b;javax.net.ssl.SSLContext k();violating CrySL rule for javax.net.ssl.SSLContext (on Object #92d5e74d84aaf4987aa951625f2a0e566f0ae4a47a8509613953e3b8aad6f237);First parameter (with value "TLS") should be any of {TLSv1.2, TLSv1.3};$r1 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String,java.security.Provider)>(varReplacer40891, $r2)
RequiredPredicateError;okhttp3.internal.platform.b;javax.net.ssl.X509TrustManager m();violating CrySL rule for javax.net.ssl.TrustManagerFactory ;First parameter was not properly generated as generated Key Store;virtualinvoke $r2.<javax.net.ssl.TrustManagerFactory: void init(java.security.KeyStore)>(varReplacer37522)
ConstraintError;l8.e;javax.net.ssl.SSLContext k();violating CrySL rule for javax.net.ssl.SSLContext (on Object #67eaa97f7232b6287eb6a669032399a1228825589f579387e1b4d427fcdb18c9);First parameter (with value "TLS") should be any of {TLSv1.2, TLSv1.3};$r1 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String)>(varReplacer40886)
RequiredPredicateError;l8.e;javax.net.ssl.SSLSocketFactory l(javax.net.ssl.X509TrustManager);violating CrySL rule for javax.net.ssl.SSLContext ;Third parameter was not properly generated as randomized;virtualinvoke $r2.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer37537, $r8, varReplacer37537)
RequiredPredicateError;l8.e;javax.net.ssl.SSLSocketFactory l(javax.net.ssl.X509TrustManager);violating CrySL rule for javax.net.ssl.SSLContext ;First parameter was not properly generated as generated Key Managers;virtualinvoke $r2.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer37537, $r8, varReplacer37537)
RequiredPredicateError;l8.e;javax.net.ssl.SSLSocketFactory l(javax.net.ssl.X509TrustManager);violating CrySL rule for javax.net.ssl.SSLContext ;Second parameter was not properly generated as generated Trust Managers;virtualinvoke $r2.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer37537, $r8, varReplacer37537)
RequiredPredicateError;l8.e;javax.net.ssl.X509TrustManager m();violating CrySL rule for javax.net.ssl.TrustManagerFactory ;First parameter was not properly generated as generated Key Store;virtualinvoke $r2.<javax.net.ssl.TrustManagerFactory: void init(java.security.KeyStore)>(varReplacer37520)
ConstraintError;l8.d;javax.net.ssl.SSLContext k();violating CrySL rule for javax.net.ssl.SSLContext (on Object #e7870fd205ce45c52bcf529563b30a65475f4e3e0bd570a66f98271508cea32);First parameter (with value "TLS") should be any of {TLSv1.2, TLSv1.3};$r3 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String)>(varReplacer40890)
ConstraintError;okhttp3.internal.platform.a;javax.net.ssl.SSLContext k();violating CrySL rule for javax.net.ssl.SSLContext (on Object #bfb8b5fae627fa8380a7192e8e4953b7ff527b990c757bf5c6e5a0770d2f94f2);First parameter (with value "TLS") should be any of {TLSv1.2, TLSv1.3};$r1 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String,java.security.Provider)>(varReplacer40894, $r2)
RequiredPredicateError;okhttp3.internal.platform.a;javax.net.ssl.X509TrustManager m();violating CrySL rule for javax.net.ssl.TrustManagerFactory ;First parameter was not properly generated as generated Key Store;virtualinvoke $r1.<javax.net.ssl.TrustManagerFactory: void init(java.security.KeyStore)>(varReplacer37529)
ConstraintError;p8.h;p8.h e(java.lang.String);violating CrySL rule for java.security.MessageDigest (on Object #88f865924c4b01128fa65698b555476db3c8bf0708d7231c4ba86b772775ac36);First parameter (with value "SHA-1") should be any of {SHA-256, SHA-384, SHA-512};$r2 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>($r1)
ConstraintError;p8.v;p8.h e(java.lang.String);violating CrySL rule for java.security.MessageDigest (on Object #bd115e0b4b7f87be4153991abcdae60f971215267ad2f281b1d77fedcc896dc9);First parameter (with value "SHA-1") should be any of {SHA-256, SHA-384, SHA-512};$r2 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>($r1)
