ErrorType;Class;Method;ViolatedRule;Object;Statement
ConstraintError;org.eclipse.paho.client.mqttv3.internal.websocket.WebSocketHandshake;byte[] sha1(java.lang.String);violating CrySL rule for java.security.MessageDigest (on Object #b8206bc162ac2bc6ddf9fab434f4d5ba47d7494c4b8221a7b7648c0778263245);First parameter (with value "SHA1") should be any of {SHA-256, SHA-384, SHA-512};$r2 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>(varReplacer5539)
NeverTypeOfError;org.eclipse.paho.client.mqttv3.internal.security.SSLSocketFactoryFactory;javax.net.ssl.SSLContext getSSLContext(java.lang.String);violating CrySL rule for java.security.KeyStore (on Object #5149894d05ef20df222d58c4a033421d6302e35e69a14f445f906bc16807ea17);Second parameter should never be of type java.lang.String.;virtualinvoke $r14.<java.security.KeyStore: void load(java.io.InputStream,char[])>($r15, $r10)
HardCodedError;org.eclipse.paho.client.mqttv3.internal.security.SSLSocketFactoryFactory;javax.net.ssl.SSLContext getSSLContext(java.lang.String);violating CrySL rule for java.security.KeyStore (on Object #5149894d05ef20df222d58c4a033421d6302e35e69a14f445f906bc16807ea17);Second parameter should never be hardcoded.;virtualinvoke $r14.<java.security.KeyStore: void load(java.io.InputStream,char[])>($r15, $r10)
ConstraintError;org.eclipse.paho.client.mqttv3.internal.security.SSLSocketFactoryFactory;javax.net.ssl.SSLContext getSSLContext(java.lang.String);violating CrySL rule for javax.net.ssl.SSLContext (on Object #2de0dbcb962ff3cb3e0d9dc8e9469638e8762c9aa5d9bef5cf875912fda1093);First parameter (with value "TLS") should be any of {TLSv1.2, TLSv1.3};$r7 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String,java.lang.String)>($r4, $r3)
NeverTypeOfError;org.eclipse.paho.client.mqttv3.internal.security.SSLSocketFactoryFactory;javax.net.ssl.SSLContext getSSLContext(java.lang.String);violating CrySL rule for javax.net.ssl.KeyManagerFactory (on Object #51438369a357067707332506854fc20b41f55bae36aefc78dabd79b339ad0ac5);Second parameter should never be of type java.lang.String.;virtualinvoke $r16.<javax.net.ssl.KeyManagerFactory: void init(java.security.KeyStore,char[])>($r14, $r10)
HardCodedError;org.eclipse.paho.client.mqttv3.internal.security.SSLSocketFactoryFactory;javax.net.ssl.SSLContext getSSLContext(java.lang.String);violating CrySL rule for javax.net.ssl.KeyManagerFactory (on Object #51438369a357067707332506854fc20b41f55bae36aefc78dabd79b339ad0ac5);Second parameter should never be hardcoded.;virtualinvoke $r16.<javax.net.ssl.KeyManagerFactory: void init(java.security.KeyStore,char[])>($r14, $r10)
RequiredPredicateError;org.eclipse.paho.client.mqttv3.internal.security.SSLSocketFactoryFactory;javax.net.ssl.SSLContext getSSLContext(java.lang.String);violating CrySL rule for javax.net.ssl.SSLContext ;Second parameter was not properly generated as generated Trust Managers;virtualinvoke $r7.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>($r17, $r25, varReplacer6805)
RequiredPredicateError;org.eclipse.paho.client.mqttv3.internal.security.SSLSocketFactoryFactory;javax.net.ssl.SSLContext getSSLContext(java.lang.String);violating CrySL rule for javax.net.ssl.SSLContext ;Third parameter was not properly generated as randomized;virtualinvoke $r7.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>($r17, $r25, varReplacer6805)
RequiredPredicateError;org.eclipse.paho.client.mqttv3.internal.security.SSLSocketFactoryFactory;javax.net.ssl.SSLContext getSSLContext(java.lang.String);violating CrySL rule for javax.net.ssl.TrustManagerFactory ;First parameter was not properly generated as generated Key Store;virtualinvoke $r24.<javax.net.ssl.TrustManagerFactory: void init(java.security.KeyStore)>($r14)
RequiredPredicateError;org.eclipse.paho.client.mqttv3.internal.security.SSLSocketFactoryFactory;javax.net.ssl.SSLContext getSSLContext(java.lang.String);violating CrySL rule for javax.net.ssl.SSLContext ;First parameter was not properly generated as generated Key Managers;virtualinvoke $r7.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>($r17, $r25, varReplacer6805)
