ErrorType;Class;Method;ViolatedRule;Object;Statement
ConstraintError;com.beemdevelopment.aegis.crypto.KeyStoreHandle;void <init>();violating CrySL rule for java.security.KeyStore (on Object #6b2612112c6c0b6d7e4779737f3293480d7205daa831e8874ff497051f9fe41f);First parameter (with value "AndroidKeyStore") should be any of {JCEKS, JKS, DKS, PKCS11, PKCS12};$r1 = staticinvoke <java.security.KeyStore: java.security.KeyStore getInstance(java.lang.String)>(varReplacer1037)
RequiredPredicateError;com.beemdevelopment.aegis.crypto.KeyStoreHandle;javax.crypto.SecretKey getKey(java.lang.String);violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke $r7.<javax.crypto.Cipher: void init(int,java.security.Key)>(varReplacer1042, $r6)
ConstraintError;androidx.appcompat.R$string;androidx.biometric.BiometricPrompt$CryptoObject createFakeCryptoObject();violating CrySL rule for javax.crypto.Cipher (on Object #53598b3c51ae35609b1dd1b16cb205cd71b48df795845bf83de56af15ca87d1a);First parameter (with value "AES/CBC/PKCS7Padding") should be any of AES/CBC/{PKCS5Padding, ISO10126Padding};$r6 = staticinvoke <javax.crypto.Cipher: javax.crypto.Cipher getInstance(java.lang.String)>(varReplacer1193)
ConstraintError;androidx.appcompat.R$string;androidx.biometric.BiometricPrompt$CryptoObject createFakeCryptoObject();violating CrySL rule for java.security.KeyStore (on Object #c807badf07944ef6b869416500205a981017b1d67b18d5241d6276fafc179ca0);First parameter (with value "AndroidKeyStore") should be any of {JCEKS, JKS, DKS, PKCS11, PKCS12};$r0 = staticinvoke <java.security.KeyStore: java.security.KeyStore getInstance(java.lang.String)>(varReplacer1190)
RequiredPredicateError;androidx.appcompat.R$string;androidx.biometric.BiometricPrompt$CryptoObject createFakeCryptoObject();violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke $r6.<javax.crypto.Cipher: void init(int,java.security.Key)>(varReplacer1181, $r5)
TypestateError;androidx.preference.R$style;com.beemdevelopment.aegis.crypto.CryptResult decrypt(byte[],int,int,javax.crypto.Cipher,com.beemdevelopment.aegis.crypto.CryptParameters);violating CrySL rule for javax.crypto.Cipher (on Object #84da657b100e31ad0c726bb1d16e2cb1da24658396e85a1c0a76f245247ff8dc);Unexpected call to method doFinal on object of type javax.crypto.Cipher. Expect a call to one of the following methods init,updateAAD;$r3 = virtualinvoke $r0.<javax.crypto.Cipher: byte[] doFinal(byte[])>($r3)
RequiredPredicateError;androidx.preference.R$style;com.beemdevelopment.aegis.crypto.otp.OTP generateOTP(byte[],java.lang.String,int,long);violating CrySL rule for javax.crypto.spec.SecretKeySpec ;First parameter was not properly generated as prepared Key Material;specialinvoke $r3.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>($r1, varReplacer15035)
ConstraintError;androidx.preference.R$style;com.beemdevelopment.aegis.crypto.otp.OTP generateOTP(byte[],java.lang.String,int,long);violating CrySL rule for javax.crypto.spec.SecretKeySpec (on Object #41a84c995f837f8146c5a665df5f478dcac6be6bfd13a9e3f89a06d24d770c45);Second parameter (with value "RAW") should be any of {AES, HmacSHA224, HmacSHA256, HmacSHA384, HmacSHA512};specialinvoke $r3.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>($r1, varReplacer15035)
TypestateError;androidx.preference.R$style;com.beemdevelopment.aegis.crypto.otp.OTP generateOTP(byte[],java.lang.String,int,long);violating CrySL rule for javax.crypto.Mac (on Object #461883015452a1874a814801e828d2490f76c0fa2594c70789d35fd8625929f8);Unexpected call to method <javax.crypto.Mac: byte[] doFinal(byte[])> on object of type javax.crypto.Mac. Expect a call to one of the following methods javax.crypto.Mac: void doFinal(byte[],int),javax.crypto.Mac: void update(byte[]),javax.crypto.Mac: byte[] doFinal(),javax.crypto.Mac: void update(byte),javax.crypto.Mac: void update(byte[],int,int);$r1 = virtualinvoke $r5.<javax.crypto.Mac: byte[] doFinal(byte[])>($r1)
RequiredPredicateError;androidx.preference.R$style;javax.crypto.SecretKey deriveKey(byte[],com.beemdevelopment.aegis.crypto.SCryptParameters);violating CrySL rule for javax.crypto.spec.SecretKeySpec ;First parameter was not properly generated as prepared Key Material;specialinvoke $r5.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],int,int,java.lang.String)>($r0, varReplacer22508, $i2, varReplacer22509)
