ErrorType;Class;Method;ViolatedRule;Object;Statement
ConstraintError;c.n.a.b;boolean b();violating CrySL rule for java.security.KeyStore (on Object #b68639b54464887c858345d10377b62a082280941bb18b2fbb0668a7c6037dcd);First parameter (with value "AndroidKeyStore") should be any of {JCEKS, JKS, DKS, PKCS11, PKCS12};$r5 = staticinvoke <java.security.KeyStore: java.security.KeyStore getInstance(java.lang.String)>(varReplacer9434)
ConstraintError;design.codeux.biometric_storage.j;void b(java.lang.String);violating CrySL rule for java.security.KeyStore (on Object #a045652cfdc30d72b0957b344e2eab8dae3503cd0525c3939854b78d4f89ac30);First parameter (with value "AndroidKeyStore") should be any of {JCEKS, JKS, DKS, PKCS11, PKCS12};$r3 = staticinvoke <java.security.KeyStore: java.security.KeyStore getInstance(java.lang.String)>(varReplacer17075)
TypestateError;design.codeux.biometric_storage.j;design.codeux.biometric_storage.l c(java.lang.String,javax.crypto.Cipher);violating CrySL rule for javax.crypto.Cipher (on Object #ed5c652f55d54d91f519db2682ffff51ea98e3ed50d2be9c20d882ce92071b59);Unexpected call to method doFinal on object of type javax.crypto.Cipher. Expect a call to one of the following methods init,updateAAD;virtualinvoke $r2.<javax.crypto.Cipher: int doFinal(byte[],int,int,byte[],int)>($r4, varReplacer27997, $i0, $r5, varReplacer27998)
ConstraintError;design.codeux.biometric_storage.j;javax.crypto.SecretKey h(java.lang.String);violating CrySL rule for java.security.KeyStore (on Object #6fe3743a3541b4fc433c6f0ea989c4bc2ceb1667abb8851285e0c5e0be17407b);First parameter (with value "AndroidKeyStore") should be any of {JCEKS, JKS, DKS, PKCS11, PKCS12};$r2 = staticinvoke <java.security.KeyStore: java.security.KeyStore getInstance(java.lang.String)>(varReplacer22955)
RequiredPredicateError;design.codeux.biometric_storage.j;javax.crypto.Cipher f(java.lang.String,byte[]);violating CrySL rule for javax.crypto.spec.GCMParameterSpec ;Second parameter was not properly generated as randomized;specialinvoke $r1.<javax.crypto.spec.GCMParameterSpec: void <init>(int,byte[])>(varReplacer22941, $r3)
ConstraintError;c.n.a.c;boolean d(java.lang.String);violating CrySL rule for java.security.KeyStore (on Object #6ae59f7252f3c4d2a06abd5c1b5c123ad77b25b0f9b70dea658bafca9f6f7af4);First parameter (with value "AndroidKeyStore") should be any of {JCEKS, JKS, DKS, PKCS11, PKCS12};$r1 = staticinvoke <java.security.KeyStore: java.security.KeyStore getInstance(java.lang.String)>(varReplacer19740)
IncompleteOperationError;e.b.a.a.x2.j;void close();violating CrySL rule for javax.crypto.CipherInputStream (on Object #42bf9cf2c6f66c5362b577a9999bcb1b5289cedba218da63003f1c8909e70762);Operation on object of type javax.crypto.CipherInputStream object not completed. Expected call to read;virtualinvoke r0.<e.b.a.a.x2.i: void t()>()
IncompleteOperationError;e.b.a.a.x2.j;void close();violating CrySL rule for javax.crypto.CipherInputStream (on Object #42bf9cf2c6f66c5362b577a9999bcb1b5289cedba218da63003f1c8909e70762);Operation on object of type javax.crypto.CipherInputStream object not completed. Expected call to read;virtualinvoke r0.<e.b.a.a.x2.i: void t()>()
IncompleteOperationError;e.b.a.a.x2.j;void close();violating CrySL rule for javax.crypto.CipherInputStream (on Object #42bf9cf2c6f66c5362b577a9999bcb1b5289cedba218da63003f1c8909e70762);Operation on object of type javax.crypto.CipherInputStream object not completed. Expected call to read;virtualinvoke r0.<e.b.a.a.x2.i: void t()>()
IncompleteOperationError;com.google.android.exoplayer2.source.hls.m;void s();violating CrySL rule for javax.crypto.CipherInputStream (on Object #42bf9cf2c6f66c5362b577a9999bcb1b5289cedba218da63003f1c8909e70762);Operation on object of type javax.crypto.CipherInputStream object not completed. Expected call to read;specialinvoke r0.<com.google.android.exoplayer2.source.hls.m: void k(e.b.a.a.x2.n,e.b.a.a.x2.q,boolean)>($r2, $r1, $z0)
