ErrorType;Class;Method;ViolatedRule;Object;Statement
IncompleteOperationError;org.ea.sqrl.activites.create.RescueCodeShowActivity;void onCreate(android.os.Bundle);violating CrySL rule for java.security.MessageDigest (on Object #d22efc7a6b9c987674c2c6614a45988ddcb1943cb06f2f507d942810471b4ab0);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;virtualinvoke $r4.<org.ea.sqrl.processors.SQRLStorage: void newRescueCode(org.ea.sqrl.processors.EntropyHarvester)>($r2)
RequiredPredicateError;org.ea.sqrl.processors.CommunicationHandler;org.ea.sqrl.processors.CommunicationHandler getInstance(android.content.Context);violating CrySL rule for javax.net.ssl.SSLContext ;Second parameter was not properly generated as generated Trust Managers;virtualinvoke $r5.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer841, $r13, $r0)
RequiredPredicateError;org.ea.sqrl.processors.CommunicationHandler;org.ea.sqrl.processors.CommunicationHandler getInstance(android.content.Context);violating CrySL rule for javax.net.ssl.SSLContext ;Third parameter was not properly generated as randomized;virtualinvoke $r5.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer841, $r13, $r0)
RequiredPredicateError;org.ea.sqrl.processors.CommunicationHandler;org.ea.sqrl.processors.CommunicationHandler getInstance(android.content.Context);violating CrySL rule for javax.net.ssl.SSLContext ;First parameter was not properly generated as generated Key Managers;virtualinvoke $r5.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer841, $r13, $r0)
ConstraintError;org.ea.sqrl.processors.CommunicationHandler;org.ea.sqrl.processors.CommunicationHandler getInstance(android.content.Context);violating CrySL rule for javax.net.ssl.SSLContext (on Object #a51cb1f7ba277fd097e6d0d838169fabadc296950be8e6dacd14d4393148f6b8);First parameter (with value "SSL") should be any of {TLSv1.2, TLSv1.3};$r5 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String)>(varReplacer842)
ConstraintError;org.ea.sqrl.processors.SQRLStorage;void clearQuickPass();violating CrySL rule for java.security.KeyStore (on Object #9e7ed0edb14670f7d58280d8099f2e4f782f47e5fe9615b01d360148837b78ad);First parameter (with value "AndroidKeyStore") should be any of {JCEKS, JKS, DKS, PKCS11, PKCS12};$r4 = staticinvoke <java.security.KeyStore: java.security.KeyStore getInstance(java.lang.String)>(varReplacer862)
RequiredPredicateError;org.ea.sqrl.processors.SQRLStorage;boolean decryptUnlockKey(java.lang.String);violating CrySL rule for javax.crypto.spec.GCMParameterSpec ;Second parameter was not properly generated as randomized;specialinvoke $r8.<javax.crypto.spec.GCMParameterSpec: void <init>(int,byte[])>(varReplacer3879, $r5)
RequiredPredicateError;org.ea.sqrl.processors.SQRLStorage;boolean decryptUnlockKey(java.lang.String);violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke $r7.<javax.crypto.Cipher: void init(int,java.security.Key,java.security.spec.AlgorithmParameterSpec)>(varReplacer3880, $r6, $r8)
RequiredPredicateError;org.ea.sqrl.processors.SQRLStorage;boolean decryptUnlockKey(java.lang.String);violating CrySL rule for javax.crypto.spec.SecretKeySpec ;First parameter was not properly generated as prepared Key Material;specialinvoke $r6.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>($r1, varReplacer3874)
RequiredPredicateError;org.ea.sqrl.processors.SQRLStorage;boolean decryptUnlockKey(java.lang.String);violating CrySL rule for javax.crypto.Cipher ;Third parameter was not properly generated as prepared G C M;virtualinvoke $r7.<javax.crypto.Cipher: void init(int,java.security.Key,java.security.spec.AlgorithmParameterSpec)>(varReplacer3880, $r6, $r8)
ConstraintError;org.ea.sqrl.processors.SQRLStorage;boolean decryptUnlockKey(java.lang.String);violating CrySL rule for javax.crypto.Cipher (on Object #914c6d07f400953848c4606a70c254316e9d4f51999473bcfc664316de2ac3f3);First parameter (with value "AES_256/GCM/NoPadding") should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256};$r7 = staticinvoke <javax.crypto.Cipher: javax.crypto.Cipher getInstance(java.lang.String)>(varReplacer3876)
ConstraintError;org.ea.sqrl.processors.SQRLStorage;boolean encryptIdentityKey(java.lang.String,org.ea.sqrl.processors.EntropyHarvester);violating CrySL rule for javax.crypto.Cipher (on Object #ed266acba95c69de297bc5825f3abe5de998f9676bd9411812652f8499a95b12);First parameter (with value "AES_256/GCM/NoPadding") should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256};$r8 = staticinvoke <javax.crypto.Cipher: javax.crypto.Cipher getInstance(java.lang.String)>(varReplacer3893)
RequiredPredicateError;org.ea.sqrl.processors.SQRLStorage;boolean encryptIdentityKey(java.lang.String,org.ea.sqrl.processors.EntropyHarvester);violating CrySL rule for javax.crypto.spec.GCMParameterSpec ;Second parameter was not properly generated as randomized;specialinvoke $r9.<javax.crypto.spec.GCMParameterSpec: void <init>(int,byte[])>(varReplacer3914, $r6)
RequiredPredicateError;org.ea.sqrl.processors.SQRLStorage;boolean encryptIdentityKey(java.lang.String,org.ea.sqrl.processors.EntropyHarvester);violating CrySL rule for javax.crypto.spec.SecretKeySpec ;First parameter was not properly generated as prepared Key Material;specialinvoke $r7.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>($r5, varReplacer3887)
RequiredPredicateError;org.ea.sqrl.processors.SQRLStorage;boolean encryptIdentityKey(java.lang.String,org.ea.sqrl.processors.EntropyHarvester);violating CrySL rule for javax.crypto.Cipher ;Third parameter was not properly generated as prepared G C M;virtualinvoke $r8.<javax.crypto.Cipher: void init(int,java.security.Key,java.security.spec.AlgorithmParameterSpec)>(varReplacer3899, $r7, $r9)
RequiredPredicateError;org.ea.sqrl.processors.SQRLStorage;boolean encryptIdentityKey(java.lang.String,org.ea.sqrl.processors.EntropyHarvester);violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke $r8.<javax.crypto.Cipher: void init(int,java.security.Key,java.security.spec.AlgorithmParameterSpec)>(varReplacer3899, $r7, $r9)
