ErrorType;Class;Method;ViolatedRule;Object;Statement
IncompleteOperationError;com.bumptech.glide.i;a2.i r0(a2.i,z1.g,z1.a,java.util.concurrent.Executor);violating CrySL rule for java.security.MessageDigest (on Object #96fe005f9fc0700f27f3e702adf04da467b59a13da7dca1cc50015fc7a0feb45);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;interfaceinvoke $r6.<z1.d: void e()>()
IncompleteOperationError;com.bumptech.glide.i;a2.i r0(a2.i,z1.g,z1.a,java.util.concurrent.Executor);violating CrySL rule for java.security.MessageDigest (on Object #96fe005f9fc0700f27f3e702adf04da467b59a13da7dca1cc50015fc7a0feb45);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;virtualinvoke $r8.<com.bumptech.glide.j: void A(a2.i,z1.d)>($r1, $r5)
IncompleteOperationError;z1.b;void e();violating CrySL rule for java.security.MessageDigest (on Object #96fe005f9fc0700f27f3e702adf04da467b59a13da7dca1cc50015fc7a0feb45);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;interfaceinvoke $r4.<z1.d: void e()>()
IncompleteOperationError;com.bumptech.glide.load.engine.k$a;void run();violating CrySL rule for java.security.MessageDigest (on Object #96fe005f9fc0700f27f3e702adf04da467b59a13da7dca1cc50015fc7a0feb45);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;$z0 = virtualinvoke $r5.<com.bumptech.glide.load.engine.k$e: boolean b(z1.i)>($r1)
IncompleteOperationError;com.bumptech.glide.load.engine.k$a;void run();violating CrySL rule for java.security.MessageDigest (on Object #96fe005f9fc0700f27f3e702adf04da467b59a13da7dca1cc50015fc7a0feb45);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;virtualinvoke $r4.<com.bumptech.glide.load.engine.k: void f(z1.i)>($r1)
IncompleteOperationError;z1.k;void e();violating CrySL rule for java.security.MessageDigest (on Object #96fe005f9fc0700f27f3e702adf04da467b59a13da7dca1cc50015fc7a0feb45);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;interfaceinvoke $r4.<z1.d: void e()>()
IncompleteOperationError;z1.k;void e();violating CrySL rule for java.security.MessageDigest (on Object #96fe005f9fc0700f27f3e702adf04da467b59a13da7dca1cc50015fc7a0feb45);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;interfaceinvoke $r4.<z1.d: void e()>()
IncompleteOperationError;w1.r;void f();violating CrySL rule for java.security.MessageDigest (on Object #96fe005f9fc0700f27f3e702adf04da467b59a13da7dca1cc50015fc7a0feb45);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;interfaceinvoke $r5.<z1.d: void e()>()
IncompleteOperationError;w1.r;void f();violating CrySL rule for java.security.MessageDigest (on Object #96fe005f9fc0700f27f3e702adf04da467b59a13da7dca1cc50015fc7a0feb45);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;$z0 = interfaceinvoke $r5.<z1.d: boolean h()>()
IncompleteOperationError;w1.r;void f();violating CrySL rule for java.security.MessageDigest (on Object #96fe005f9fc0700f27f3e702adf04da467b59a13da7dca1cc50015fc7a0feb45);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;$z0 = interfaceinvoke $r5.<z1.d: boolean isRunning()>()
ConstraintError;androidx.biometric.h;androidx.biometric.BiometricPrompt$c a();violating CrySL rule for javax.crypto.Cipher (on Object #3ea6c1477aa066c606fb4247c94e8505a90d81ad154f114d6b7be52ec5d9450b);First parameter (with value "AES/CBC/PKCS7Padding") should be any of AES/CBC/{PKCS5Padding, ISO10126Padding};$r6 = staticinvoke <javax.crypto.Cipher: javax.crypto.Cipher getInstance(java.lang.String)>(varReplacer24115)
ConstraintError;androidx.biometric.h;androidx.biometric.BiometricPrompt$c a();violating CrySL rule for java.security.KeyStore (on Object #f2496f604aea6f6363b3c97f76ee0fdfdeb3054fc2ae011130e6c33064cd2aac);First parameter (with value "AndroidKeyStore") should be any of {JCEKS, JKS, DKS, PKCS11, PKCS12};$r0 = staticinvoke <java.security.KeyStore: java.security.KeyStore getInstance(java.lang.String)>(varReplacer24127)
RequiredPredicateError;androidx.biometric.h;androidx.biometric.BiometricPrompt$c a();violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke $r6.<javax.crypto.Cipher: void init(int,java.security.Key)>(varReplacer24118, $r5)
ConstraintError;com.simplemobiletools.commons.views.PinTab;java.lang.String getHashedPin();violating CrySL rule for java.security.MessageDigest (on Object #59d7f98c496932d1e972c4f90d7fb02bf37955b554c7e0d1d80096d9f8628edf);First parameter (with value "SHA-1") should be any of {SHA-256, SHA-384, SHA-512};$r1 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>(varReplacer27105)
ConstraintError;f1.a;java.lang.String a(com.andrognito.patternlockview.PatternLockView,java.util.List);violating CrySL rule for java.security.MessageDigest (on Object #faba508de97de674f8159c8a878c4f687b332bd7d96e16a8f16954b16c3a023f);First parameter (with value "SHA-1") should be any of {SHA-256, SHA-384, SHA-512};$r4 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>(varReplacer27301)
