ErrorType;Class;Method;ViolatedRule;Object;Statement
ConstraintError;h.c.e.a$b;void run();violating CrySL rule for java.security.MessageDigest (on Object #fa5ab10da3a10bfc06763b6d85e2a7713e32fe17d88de139d1bec44b026efe);First parameter (with value "SHA") should be any of {SHA-256, SHA-384, SHA-512};$r8 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>(varReplacer475)
ConstraintError;opencontacts.open.com.opencontacts.utils.NetworkUtils;k.a0$a getUnsafeOkHttpClientBuilder();violating CrySL rule for javax.net.ssl.SSLContext (on Object #c4f303744019943c1a93b2c2984c4f86ff6144c0d4feb167dc30d6f01790ea39);First parameter (with value "SSL") should be any of {TLSv1.2, TLSv1.3};$r3 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String)>(varReplacer7260)
RequiredPredicateError;opencontacts.open.com.opencontacts.utils.NetworkUtils;k.a0$a getUnsafeOkHttpClientBuilder();violating CrySL rule for javax.net.ssl.SSLContext ;Third parameter was not properly generated as randomized;virtualinvoke $r3.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer7259, $r14, $r0)
RequiredPredicateError;opencontacts.open.com.opencontacts.utils.NetworkUtils;k.a0$a getUnsafeOkHttpClientBuilder();violating CrySL rule for javax.net.ssl.SSLContext ;Second parameter was not properly generated as generated Trust Managers;virtualinvoke $r3.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer7259, $r14, $r0)
RequiredPredicateError;opencontacts.open.com.opencontacts.utils.NetworkUtils;k.a0$a getUnsafeOkHttpClientBuilder();violating CrySL rule for javax.net.ssl.SSLContext ;First parameter was not properly generated as generated Key Managers;virtualinvoke $r3.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer7259, $r14, $r0)
ConstraintError;k.i0.j.h;javax.net.ssl.SSLContext m();violating CrySL rule for javax.net.ssl.SSLContext (on Object #594334e864b737e75db4e3eaa2dedac86fa2f4c1f70c764c39ded8ec0ad63003);First parameter (with value "TLS") should be any of {TLSv1.2, TLSv1.3};$r1 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String)>(varReplacer18638)
RequiredPredicateError;k.i0.j.h;javax.net.ssl.SSLSocketFactory n(javax.net.ssl.X509TrustManager);violating CrySL rule for javax.net.ssl.SSLContext ;Second parameter was not properly generated as generated Trust Managers;virtualinvoke $r2.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer16664, $r10, varReplacer16664)
RequiredPredicateError;k.i0.j.h;javax.net.ssl.SSLSocketFactory n(javax.net.ssl.X509TrustManager);violating CrySL rule for javax.net.ssl.SSLContext ;Third parameter was not properly generated as randomized;virtualinvoke $r2.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer16664, $r10, varReplacer16664)
RequiredPredicateError;k.i0.j.h;javax.net.ssl.SSLSocketFactory n(javax.net.ssl.X509TrustManager);violating CrySL rule for javax.net.ssl.SSLContext ;First parameter was not properly generated as generated Key Managers;virtualinvoke $r2.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer16664, $r10, varReplacer16664)
RequiredPredicateError;k.i0.j.h;javax.net.ssl.X509TrustManager o();violating CrySL rule for javax.net.ssl.TrustManagerFactory ;First parameter was not properly generated as generated Key Store;virtualinvoke $r2.<javax.net.ssl.TrustManagerFactory: void init(java.security.KeyStore)>(varReplacer16640)
