ErrorType;Class;Method;ViolatedRule;Object;Statement
NeverTypeOfError;org.sipdroid.sipua.SipdroidEngine;boolean StartEngine();violating CrySL rule for java.security.KeyStore (on Object #ac4a870366b019d2901499589d7d2da061d9d44ea9905a48023f24df17401793);Second parameter should never be of type java.lang.String.;virtualinvoke $r11.<java.security.KeyStore: void load(java.io.InputStream,char[])>($r13, $r14)
HardCodedError;org.sipdroid.sipua.SipdroidEngine;boolean StartEngine();violating CrySL rule for java.security.KeyStore (on Object #ac4a870366b019d2901499589d7d2da061d9d44ea9905a48023f24df17401793);Second parameter should never be hardcoded.;virtualinvoke $r11.<java.security.KeyStore: void load(java.io.InputStream,char[])>($r13, $r14)
ConstraintError;org.sipdroid.sipua.SipdroidEngine;boolean StartEngine();violating CrySL rule for java.security.KeyStore (on Object #ac4a870366b019d2901499589d7d2da061d9d44ea9905a48023f24df17401793);First parameter (with value "BKS") should be any of {JCEKS, JKS, DKS, PKCS11, PKCS12};$r11 = staticinvoke <java.security.KeyStore: java.security.KeyStore getInstance(java.lang.String,java.lang.String)>(varReplacer2655, varReplacer2656)
IncompleteOperationError;org.sipdroid.sipua.SipdroidEngine;void answercall();violating CrySL rule for javax.crypto.Cipher (on Object #394d8d40ab22f6a53b9840921a66404c37feff4b63e049f2be4644cb280d8242);Operation on object of type javax.crypto.Cipher object not completed. Expected call to init;virtualinvoke $r1.<org.sipdroid.sipua.UserAgent: boolean accept()>()
TypestateError;zorg.platform.j2se.DiffieHellmanSuiteImpl;void setAlgorithm(zorg.KeyAgreementType);violating CrySL rule for java.security.KeyPairGenerator (on Object #bcae69db14d36b7e6e806cb7c5d2a2260c802ff4c674e28195f6714a296591fc);Unexpected call to method generateKeyPair on object of type java.security.KeyPairGenerator. Expect a call to one of the following methods initialize;$r13 = virtualinvoke $r11.<java.security.KeyPairGenerator: java.security.KeyPair generateKeyPair()>()
ConstraintError;zorg.platform.j2se.DiffieHellmanSuiteImpl;void setupEC(int);violating CrySL rule for java.security.KeyPairGenerator (on Object #db74ba4f48a143f42b76a684c3e1e1e31b50ce7d60ad512d45f9e2cbe6ba9864);First parameter (with value "ECDH") should be any of {RSA, EC, DSA, DiffieHellman, DH};$r1 = staticinvoke <java.security.KeyPairGenerator: java.security.KeyPairGenerator getInstance(java.lang.String)>(varReplacer15538)
TypestateError;zorg.platform.j2se.DiffieHellmanSuiteImpl;void setupEC(int);violating CrySL rule for java.security.KeyPairGenerator (on Object #db74ba4f48a143f42b76a684c3e1e1e31b50ce7d60ad512d45f9e2cbe6ba9864);Unexpected call to method generateKeyPair on object of type java.security.KeyPairGenerator. Expect a call to one of the following methods initialize;$r2 = virtualinvoke $r1.<java.security.KeyPairGenerator: java.security.KeyPair generateKeyPair()>()
ConstraintError;zorg.platform.j2se.DiffieHellmanSuiteImpl;byte[] getDhResult(byte[],int,boolean);violating CrySL rule for java.security.KeyFactory (on Object #ff52cdb17e141f408d260b9c5810a3fc20a84e8625875dfdaba768dca75161db);First parameter (with value "ECDH") should be any of {RSA, DiffieHellman, DH, DSA, EC};$r11 = staticinvoke <java.security.KeyFactory: java.security.KeyFactory getInstance(java.lang.String)>(varReplacer26748)
RequiredPredicateError;zorg.platform.j2se.DiffieHellmanSuiteImpl;byte[] getDhResult(byte[],int,boolean);violating CrySL rule for java.security.KeyFactory ;First parameter was not properly generated as specced Key;$r15 = virtualinvoke $r11.<java.security.KeyFactory: java.security.PublicKey generatePublic(java.security.spec.KeySpec)>(r2)
IncompleteOperationError;org.ice4j.stack.StunStack;void <init>(org.ice4j.stack.PeerUdpMessageEventHandler,org.ice4j.stack.ChannelDataEventHandler);violating CrySL rule for javax.crypto.Mac (on Object #4db362f6293ce3448c49666674ab2749a3de134be83e6625ab96ea7e2d70e7);Operation on object of type javax.crypto.Mac object not completed. Expected call to init;$r4 = <org.ice4j.stack.StunStack: javax.crypto.Mac mac>
ConstraintError;org.ice4j.stack.StunStack;void <init>(org.ice4j.stack.PeerUdpMessageEventHandler,org.ice4j.stack.ChannelDataEventHandler);violating CrySL rule for javax.crypto.Mac (on Object #4db362f6293ce3448c49666674ab2749a3de134be83e6625ab96ea7e2d70e7);First parameter (with value "HmacSHA1") should be any of {HmacSHA256, HmacSHA384, HmacSHA512, HmacPBESHA1, PBEWithHmacSHA1, PBEWithHmacSHA224, PBEWithHmacSHA256, PBEWithHmacSHA384, PBEWithHmacSHA512};$r4 = staticinvoke <javax.crypto.Mac: javax.crypto.Mac getInstance(java.lang.String)>(varReplacer14394)
