ErrorType;Class;Method;ViolatedRule;Object;Statement
ConstraintError;mi$a;mi a();violating CrySL rule for java.security.KeyStore (on Object #fcfb095ecae9b9e663cc2b11fa3fbc3f5159af85805317cf66bdf6d89cfa24ad);First parameter (with value "AndroidKeyStore") should be any of {JCEKS, JKS, DKS, PKCS11, PKCS12};$r8 = staticinvoke <java.security.KeyStore: java.security.KeyStore getInstance(java.lang.String)>(varReplacer1231)
TypestateError;q0;void run();violating CrySL rule for javax.crypto.Cipher (on Object #4fc8d56c6db2f955d26ac83b29b8263e021225e08d0c603198ef8dfbc90e5d22);Unexpected call to method update on object of type javax.crypto.Cipher. Expect a call to one of the following methods init,updateAAD;virtualinvoke $r59.<javax.crypto.Cipher: byte[] update(byte[])>($r62)
RequiredPredicateError;q0;void run();violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke $r59.<javax.crypto.Cipher: void init(int,java.security.Key)>(varReplacer1644, $r61)
ConstraintError;q2;boolean d(java.lang.String);violating CrySL rule for java.security.KeyStore (on Object #a0fd7e58a04ad5da178c31ddb63f7607d61db54cd48dad347ccdce05687a85e9);First parameter (with value "AndroidKeyStore") should be any of {JCEKS, JKS, DKS, PKCS11, PKCS12};$r4 = staticinvoke <java.security.KeyStore: java.security.KeyStore getInstance(java.lang.String)>(varReplacer5597)
ConstraintError;q2$a;void <init>();violating CrySL rule for java.security.KeyStore (on Object #3b1218c5d9295d8eed2bdf502f70388b3f62ce9e2c1fb107cdf89598f11aa98e);First parameter (with value "AndroidKeyStore") should be any of {JCEKS, JKS, DKS, PKCS11, PKCS12};$r1 = staticinvoke <java.security.KeyStore: java.security.KeyStore getInstance(java.lang.String)>(varReplacer8849)
ConstraintError;pe$a;java.lang.Object a(java.lang.Object);violating CrySL rule for javax.crypto.spec.SecretKeySpec (on Object #d5bffa183aed906f3c2979c16a7af96c7cb354b7d5bbbc971d96e0a8f3f92c84);Second parameter (with value "HMAC") should be any of {AES, HmacSHA224, HmacSHA256, HmacSHA384, HmacSHA512};specialinvoke $r1.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>($r7, varReplacer8871)
RequiredPredicateError;pe$a;java.lang.Object a(java.lang.Object);violating CrySL rule for javax.crypto.spec.SecretKeySpec ;First parameter was not properly generated as prepared Key Material;specialinvoke $r1.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>($r7, varReplacer8871)
ConstraintError;mi;java.lang.String toString();violating CrySL rule for java.security.KeyStore (on Object #caf719f169e90ffc4187c58e04d1eb4b94e078cb189ffe84bed6b35530bfcff3);First parameter (with value "AndroidKeyStore") should be any of {JCEKS, JKS, DKS, PKCS11, PKCS12};$r7 = staticinvoke <java.security.KeyStore: java.security.KeyStore getInstance(java.lang.String)>(varReplacer10888)
ConstraintError;eb$b;java.lang.Object a(java.lang.String,java.security.Provider);violating CrySL rule for javax.crypto.Mac (on Object #b42f0037bb34d097559b13056d1815ce1239775d027fa7cbbfe5640ad61fad78);First parameter (with value "AES/CTR/NoPadding") should be any of {HmacSHA256, HmacSHA384, HmacSHA512, HmacPBESHA1, PBEWithHmacSHA1, PBEWithHmacSHA224, PBEWithHmacSHA256, PBEWithHmacSHA384, PBEWithHmacSHA512};$r3 = staticinvoke <javax.crypto.Mac: javax.crypto.Mac getInstance(java.lang.String,java.security.Provider)>($r2, $r1)
ConstraintError;eb$b;java.lang.Object a(java.lang.String,java.security.Provider);violating CrySL rule for javax.crypto.Mac (on Object #5799b89278d3a07f711a09cbad3ff6c59277333b35beda239aadf553339ed1ae);First parameter (with value "AES/CTR/NoPadding") should be any of {HmacSHA256, HmacSHA384, HmacSHA512, HmacPBESHA1, PBEWithHmacSHA1, PBEWithHmacSHA224, PBEWithHmacSHA256, PBEWithHmacSHA384, PBEWithHmacSHA512};$r3 = staticinvoke <javax.crypto.Mac: javax.crypto.Mac getInstance(java.lang.String)>($r2)
