apk,issues
com.machiav3lli.backup_7000.apk,9
io.github.muntashirakon.unapkm_4.apk,0
com.simplemobiletools.smsmessenger_41.apk,20
godau.fynn.usagedirect.system_9.apk,5
de.lukaspieper.gcam.services_6.apk,2
com.denytheflowerpot.scrunch_2.apk,2
org.fdroid.nearby_2.apk,71
com.punksta.apps.volumecontrol_32.apk,1
com.oasisfeng.island.fdroid_51601.apk,1
io.github.subhamtyagi.lastlauncher_18.apk,1
com.example.TTime_3.apk,3
com.sunilpaulmathew.debloater_23.apk,0
org.booncode.bluepass4_5.apk,5
com.hwloc.lstopo_265.apk,2
eu.roggstar.luigithehunter.batterycalibrate_13.apk,0
kuesji.link_eye_4.apk,0
pro.rudloff.search_to_browser_2.apk,0
com.termoneplus_362.apk,3
com.github.muellerma.coffee_14.apk,1
de.k3b.android.camerafolder_1.apk,0
io.github.sds100.keymapper_50.apk,3
info.spotcomms.wlanbackend_23.apk,0
com.szchoiceway.aios.bridge_8.apk,3
com.github.olga_yakovleva.rhvoice.android_10600.apk,5
com.smartpack.busyboxinstaller_17.apk,0
com.activitymanager_414.apk,4
io.timelimit.android.aosp.direct_177.apk,9
dev.patrickgold.florisboard_56.apk,4
com.svenjacobs.app.leon_229.apk,3
ch.rmy.android.http_shortcuts_1102120001.apk,14
us.spotco.extirpater_22.apk,4
mattecarra.accapp_39.apk,12
com.smartpack.kernelmanager_171.apk,1
com.jarsilio.android.autoautorotate_27.apk,2
com.simplemobiletools.dialer_32.apk,6
name.lmj001.savetodevice_3.apk,4
com.oF2pks.chairlock_17.apk,5
kasun.sinhala.keyboard_6.apk,0
com.klee.volumelockr_5.apk,5
org.irmacard.cardemu_136.apk,4
com.looker.droidify_43.apk,5
io.github.muntashirakon.setedit_6.apk,2
com.jkuester.unlauncher_14.apk,1
com.simplemobiletools.voicerecorder_17.apk,12
me.zhanghai.android.files_25.apk,90
taco.scoop_32.apk,2
com.smartpack.scriptmanager_41.apk,0
com.buzbuz.smartautoclicker_11.apk,2
inc.flide.vi8_8.apk,1
com.hos_dvk.easyphone.full_11.apk,4
io.github.muntashirakon.AppManager_397.apk,49
com.smartpack.packagemanager_59.apk,2
moe.dic1911.autodnd_3.apk,4
luke.launcher_20003.apk,1
bluepie.ad_silence_11.apk,0
ie.defo.ech_apps_1014003.apk,65
com.vincent_falzon.discreetlauncher_44.apk,1
com.jens.automation2_115.apk,27
net.tjado.usbgadget_4.apk,1
com.github.rsteube.t4_4.apk,0
com.smartpack.kernelprofiler_13.apk,0
com.apk.editor_20.apk,6
io.github.yoshi1123.adbio_2.apk,0
com.mirfatif.permissionmanagerx_111.apk,4
co.garmax.materialflashlight_29.apk,2
com.github.muellerma.prepaidbalance_10.apk,4
io.github.domi04151309.batterytool_101.apk,1
godau.fynn.usagedirect_9.apk,6
rocks.tbog.tblauncher_30.apk,7
