"","Project","ErrorType","Class","Method","ViolatedRule","Object","Statement","Source.Code"
"1","app.zeusln.zeus_25.apk","ConstraintError","com.RNFetchBlob.D","java.lang.String b(java.lang.String)","violating CrySL rule for java.security.MessageDigest (on Object #3eaf74d2b9039fa7a154e817b87db76e4606e2a9d399527e90e24e797a141967)","First parameter (with value ""MD5"") should be any of {SHA-256, SHA-384, SHA-512}","$r3 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>(varReplacer2981)","https://github.com/ZeusLN/zeus"
"2","app.zeusln.zeus_25.apk","TypestateError","com.RNFetchBlob.t","void a(java.lang.String,java.lang.String,com.facebook.react.bridge.Promise)","violating CrySL rule for java.security.MessageDigest (on Object #1b80d21133976a17e6072b4480047e06e731c8b81ed900a517cd6e234ef1b326)","Unexpected call to method <java.security.MessageDigest: byte[] digest()> on object of type java.security.MessageDigest. Expect a call to one of the following methods java.security.MessageDigest: void update(byte[],int,int),java.security.MessageDigest: void update(java.nio.ByteBuffer),java.security.MessageDigest: byte[] digest(byte[]),java.security.MessageDigest: void update(byte),java.security.MessageDigest: void update(byte[])","$r9 = virtualinvoke $r7.<java.security.MessageDigest: byte[] digest()>()","https://github.com/ZeusLN/zeus"
"3","app.zeusln.zeus_25.apk","ConstraintError","com.facebook.soloader.m","java.lang.String a(java.lang.String)","violating CrySL rule for java.security.MessageDigest (on Object #7a0efcc030ad49b590b78169b48af20bdaf42523a18344244574f34cb3d7ea3e)","First parameter (with value ""MD5"") should be any of {SHA-256, SHA-384, SHA-512}","$r5 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>(varReplacer12300)","https://github.com/ZeusLN/zeus"
"4","app.zeusln.zeus_25.apk","RequiredPredicateError","com.RNFetchBlob.A","okhttp3.OkHttpClient$Builder a(okhttp3.OkHttpClient$Builder)","violating CrySL rule for javax.net.ssl.SSLContext ","First parameter was not properly generated as generated Key Managers","virtualinvoke $r7.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer2967, $r4, varReplacer2967)","https://github.com/ZeusLN/zeus"
"5","app.zeusln.zeus_25.apk","RequiredPredicateError","com.RNFetchBlob.D","okhttp3.OkHttpClient$Builder a(okhttp3.OkHttpClient)","violating CrySL rule for javax.net.ssl.SSLContext ","First parameter was not properly generated as generated Key Managers","virtualinvoke $r4.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer2978, $r13, $r0)","https://github.com/ZeusLN/zeus"
"6","app.zeusln.zeus_25.apk","RequiredPredicateError","com.RNFetchBlob.D","okhttp3.OkHttpClient$Builder a(okhttp3.OkHttpClient)","violating CrySL rule for javax.net.ssl.SSLContext ","Third parameter was not properly generated as randomized","virtualinvoke $r4.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer2978, $r13, $r0)","https://github.com/ZeusLN/zeus"
"7","app.zeusln.zeus_25.apk","ConstraintError","com.RNFetchBlob.D","okhttp3.OkHttpClient$Builder a(okhttp3.OkHttpClient)","violating CrySL rule for javax.net.ssl.SSLContext (on Object #a1d201aa7abef00d1227e2c497cfb33bd05724b0e760d8cb063127a1eaed72ed)","First parameter (with value ""SSL"") should be any of {TLSv1.2, TLSv1.3}","$r4 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String)>(varReplacer2979)","https://github.com/ZeusLN/zeus"
"8","app.zeusln.zeus_25.apk","RequiredPredicateError","com.facebook.react.modules.network.C","void <init>()","violating CrySL rule for javax.net.ssl.SSLContext ","Second parameter was not properly generated as generated Trust Managers","virtualinvoke $r1.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer19150, varReplacer19150, varReplacer19150)","https://github.com/ZeusLN/zeus"
"9","app.zeusln.zeus_25.apk","TypestateError","com.facebook.soloader.m","java.lang.String a(java.lang.String)","violating CrySL rule for java.security.MessageDigest (on Object #7a0efcc030ad49b590b78169b48af20bdaf42523a18344244574f34cb3d7ea3e)","Unexpected call to method <java.security.MessageDigest: byte[] digest()> on object of type java.security.MessageDigest. Expect a call to one of the following methods java.security.MessageDigest: void update(byte[],int,int),java.security.MessageDigest: void update(java.nio.ByteBuffer),java.security.MessageDigest: byte[] digest(byte[]),java.security.MessageDigest: void update(byte),java.security.MessageDigest: void update(byte[])","$r7 = virtualinvoke $r5.<java.security.MessageDigest: byte[] digest()>()","https://github.com/ZeusLN/zeus"
"10","app.zeusln.zeus_25.apk","ConstraintError","c.c.d.k.c","java.lang.String a(byte[])","violating CrySL rule for java.security.MessageDigest (on Object #2f4ed3f20a96c98725934f013ff9d8743e4dc7ef0e0f409e48dd770e71784422)","First parameter (with value ""SHA-1"") should be any of {SHA-256, SHA-384, SHA-512}","$r1 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>(varReplacer8715)","https://github.com/ZeusLN/zeus"
